"ROG4","ROG3","JSMapIDProvince","FlashMapID","Adm1Name","CommonAbbrev","AltName","Adm1NameHindi","Popl","Title","ProvCap","RefYear","AreaMiles","AreaKm","SecurityLevel","FlashMapZoom","FlashMapZoomX","FlashMapZoomY","FlashMapZoomDistrict","FlashMapZoomDistrictX","FlashMapZoomDistrictY","DisplayFirst","Comments","Source","EditName","EditDate"
"AA00","AA",,,"Oranjestad",,,,,,,,,,,,,,,,,,"Applies to entire country","BM","BM",5/7/2009 0:00:00
"AC01","AC",,,"Barbuda",,,,1241.00,"parish",,1991.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AC03","AC",,,"Saint George",,,,4473.00,"parish",,1991.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AC04","AC",,,"Saint John",,,,35635.00,"parish",,1991.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AC05","AC",,,"Saint Mary",,,,5303.00,"parish",,1991.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AC06","AC",,,"Saint Paul",,,,6117.00,"parish",,1991.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AC07","AC",,,"Saint Peter",,,,3622.00,"parish",,1991.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AC08","AC",,,"Saint Philip",,,,2964.00,"parish",,1991.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AE01","AE",,,"Abu Zaby",,"Abu Dhabi",,928360.00,"emirate","Abu Dhabi",1995.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AE02","AE",,,"'Ajman",,,,118812.00,"emirate","`Ajman",1995.00,,,,,,,,,,,,"IMB","BM",11/6/2008 0:00:00
"AE03","AE",,,"Dubayy",,"Dubai",,674101.00,"emirate","Dubayy",1995.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AE04","AE",,,"Al Fujayrah",,"Fujairah",,76254.00,"emirate","Al-Fujayrah",1995.00,,,,,,,,,,,,"IMB","BM",11/6/2008 0:00:00
"AE05","AE",,,"Ra's al Khaymah",,"Ras al-Khaimah",,144430.00,"emirate","Ra's al-Khaymah",1995.00,,,,,,,,,,,,"IMB","BM",11/6/2008 0:00:00
"AE06","AE",,,"Ash Shariqah",,"Sharjah",,400339.00,"emirate","Ash-Shariqah",1995.00,,,,,,,,,,,,"IMB","BM",11/6/2008 0:00:00
"AE07","AE",,,"Umm al Qaywayn",,"Umm al-Qaiwain",,35157.00,"emirate","Umm al-Qaywayn",1995.00,,,,,,,,,,,,"IMB","BM",11/6/2008 0:00:00
"AF01","AF",,,"Badakhshan",,,,938500.00,"province/velayat","Feyzabad",,17011,44059,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF02","AF",,,"Badghis",,,,626800.00,"province/velayat","Qal'eh-ye Now",,7950,20591,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF03","AF",,,"Baghlan",,,,805800.00,"province/velayat","Pol-e Khomri",,8154,21118,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF05","AF",,,"Bamian",,,,445300.00,"province/velayat","Bamian",,5473,14175,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF06","AF",,,"Farah",,,,421900.00,"province/velayat","Farah",,18715,48471,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF07","AF",,,"Faryab",,"Faryab",,868500.00,"province/velayat","Meymaneh",,7835,20293,,,,,,,,,,"IMB","BM",11/6/2008 0:00:00
"AF08","AF",,,"Ghazni",,,,1023700.00,"province/velayat","Ghazni",,8847,22915,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF09","AF",,,"Ghowr",,"Ghor",,592400.00,"province/velayat","Chaghcharan",,14085,36479,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF10","AF",,,"Helmand",,,,852500.00,"province/velayat","Lashgar Gah",,22619,58584,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF11","AF",,,"Herat",,,,1273100.00,"province/velayat","Herat",,21150,54778,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF13","AF",,,"Kabol",,,,2766800.00,"province/velayat","Kabul",,1723,4462,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF14","AF",,,"Kapisa",,,,429600.00,"province/velayat","Mahmud-e-Eraqi",,711,1842,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF17","AF",,,"Lowgar",,"Logar",,306100.00,"province/velayat","Pol-e 'Alam",,1498,3880,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF18","AF",,,"Nangarhar",,,,1370700.00,"province/velayat","Jalalabad",,2984,7727,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF19","AF",,,"Nimruz",,"Chakhansur",,203800.00,"province/velayat","Zaranj",,15832,41005,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF23","AF",,,"Kandahar",,"Quandahar",,1367600.00,"province/velayat","Kandahar",,20858,54022,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF24","AF",,,"Kondoz",,"Kunduz",,715600.00,"province/velayat","Konduz",,3104,8040,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF26","AF",,,"Takhar",,,,735000.00,"province/velayat","Taloqan",,4762,12333,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF27","AF",,,"Vardak",,"Warkak",,347100.00,"province/velayat","Maidanshahr",,3451,8938,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF28","AF",,,"Zabol",,"Zabul",,378700.00,"province/velayat","Qalat",,6696,17343,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF29","AF",,,"Paktika",,,,430300.00,"province/velayat","Sharan",,7522,19482,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF30","AF",,,"Balkh",,,,1432100.00,"province/velayat","Mazar-e Sharif",,6660,17249,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF31","AF",,,"Jowzjan",,,,676000.00,"province/velayat","Sheberghan",,4555,11798,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF32","AF",,,"Samangan",,,,520400.00,"province/velayat","Aybak",,4348,11262,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF33","AF",,,"Sar-e Pol",,,,626100.00,"province/velayat","Sar-e Pol",,6177,15999,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AF34","AF",,,"Konar",,,,,,,,,,,,,,,,,,,"GMI","BM",11/7/2008 0:00:00
"AF35","AF",,,"Laghman",,,,,,,,,,,,,,,,,,,"GMI","BM",11/7/2008 0:00:00
"AF36","AF",,,"Paktia",,,,,,,,,,,,,,,,,,,"GMI","BM",11/7/2008 0:00:00
"AF37","AF",,,"Khowst",,,,,,"Khowst",,1603,4152,,,,,,,,,,"HIS","BM",9/9/2002 0:00:00
"AF38","AF",,,"Nurestan",,,,,,"Nurestan?",,3562,9225,,,,,,,,,,"HIS","BM",9/9/2002 0:00:00
"AF39","AF",,,"Oruzgan",,,,,,,,,,,,,,,,,,,"GMI","BM",11/7/2008 0:00:00
"AF40","AF",,,"Parvan",,,,,,,,,,,,,,,,,,,"GMI","BM",11/7/2008 0:00:00
"AF41","AF",,,"Daykondi",,,,,,,,,,,,,,,,,,,"GMI","BM",11/7/2008 0:00:00
"AF42","AF",,,"Panjshir",,,,,,,,,,,,,,,,,,,"GMI","BM",11/7/2008 0:00:00
"AG01","AG",,,"Alger",,,,1690191.00,"province/wilaya",,1987.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AG03","AG",,,"Batna",,,,752617.00,"province/wilaya",,1987.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AG04","AG",,,"Constantine",,,,664303.00,"province/wilaya",,1987.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AG06","AG",,,"Medea",,"Médéa",,652863.00,"province/wilaya",,1987.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AG07","AG",,,"Mostaganem",,,,505932.00,"province/wilaya",,1987.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AG09","AG",,,"Oran",,,,932473.00,"province/wilaya",,1987.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AG10","AG",,,"Saida",,"Saïda",,235494.00,"province/wilaya",,1987.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AG12","AG",,,"Setif",,"Sétif",,1000694.00,"province/wilaya",,1987.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AG13","AG",,,"Tiaret",,,,575794.00,"province/wilaya",,1987.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
"AG14","AG",,,"Tizi Ouzou",,,,936948.00,"province/wilaya",,1987.00,,,,,,,,,,,,"IMB","BM",1/11/2002 0:00:00
