"ROG5","ROG4","ISO-6","FlashMapID","JSMapIDDistrict","OmidCode","LocalCode","Adm2Name","Adm2Type","Adm2NameHindi","Adm2NameBengali","Population","AreaSqKM","Capital","Longitude","Latitude","FlashMapZoom","FlashMapZoomX","FlashMapZoomY","DisplayFirst","Comment","Source","EditName","EditDate"
"AF0101","AF01",,,,,,"Baharak",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0102","AF01",,,,,,"Darwaz",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0103","AF01",,,,,,"Fayz Abad",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0104","AF01",,,,,,"Ishkashim",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0105","AF01",,,,,,"Jurm",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0106","AF01",,,,,,"Khwahan",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0107","AF01",,,,,,"Kishim",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0108","AF01",,,,,,"Kuran Wa Mun",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0109","AF01",,,,,,"Ragh",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0110","AF01",,,,,,"Shahri Buzur",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0111","AF01",,,,,,"Shighnan",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0112","AF01",,,,,,"Wakhan",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0113","AF01",,,,,,"Zebak",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0201","AF02",,,,,,"Ab Kamari",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0202","AF02",,,,,,"Ghormach",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0203","AF02",,,,,,"Jawand",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0204","AF02",,,,,,"Muqur",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0205","AF02",,,,,,"Murghab",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0206","AF02",,,,,,"Qadis",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0207","AF02",,,,,,"Qalay-I-Naw",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0301","AF03",,,,,,"Andarab",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0302","AF03",,,,,,"Baghlan",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0303","AF03",,,,,,"Baghlani Jad",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0304","AF03",,,,,,"Burka",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0305","AF03",,,,,,"Dahana-I-Gh",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0306","AF03",,,,,,"Dushi",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0307","AF03",,,,,,"Kahmard",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0308","AF03",,,,,,"Khinjan",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0309","AF03",,,,,,"Khost Wa Fir",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"AF0310","AF03",,,,,,"Nahrin",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
