"ROL3","Language","ROG3","EditName","EditDate"
"aaa","Ghotuo","NI","BM",9/17/2008 0:00:00
"aab","Alumu-Tesu","NI","BM",9/17/2008 0:00:00
"aac","Ari","PP","BM",9/17/2008 0:00:00
"aad","Amal","PP","BM",9/17/2008 0:00:00
"aae","Albanian, Arbereshe","IT","BM",6/27/2013 0:00:00
"aaf","Aranadan","IN","BM",9/17/2008 0:00:00
"aag","Ambrak","PP","BM",9/17/2008 0:00:00
"aah","Arapesh, Abu'","PP","BM",5/17/2013 0:00:00
"aai","Miniafia Oyan","PP","BM",6/27/2013 0:00:00
"aak","Ankave","PP","BM",6/27/2013 0:00:00
"aal","Afade","NI","BM",9/17/2008 0:00:00
"aan","Anambe","BR","BM",9/17/2008 0:00:00
"aao","Arabic, Algerian Saharan Spoken","AG","BM",9/17/2008 0:00:00
"aap","Arara, Para","BR","BM",9/17/2008 0:00:00
"aaq","Abenaki, Eastern","US","BM",5/31/2013 0:00:00
"aar","Afar","ET","BM",6/27/2013 0:00:00
"aas","Aasax","TZ","BM",9/17/2008 0:00:00
"aat","Albanian, Arvanitika","GR","BM",12/17/2010 0:00:00
"aau","Abau","PP","BM",6/27/2013 0:00:00
"aaw","Solong","PP","BM",9/17/2008 0:00:00
"aax","Mandobo Atas","ID","BM",9/17/2008 0:00:00
"aaz","Amarasi","ID","BM",6/27/2013 0:00:00
"aba","Abe","IV","BM",6/27/2013 0:00:00
"abb","Bankon","CM","BM",9/17/2008 0:00:00
"abc","Ayta, Ambala","RP","BM",9/17/2008 0:00:00
"abd","Manide","RP","BM",5/16/2013 0:00:00
"abe","Abenaki, Western","CA","BM",5/16/2013 0:00:00
"abf","Abai Sungai","MY","BM",9/17/2008 0:00:00
"abg","Abaga","PP","BM",9/17/2008 0:00:00
"abh","Arabic, Tajiki Spoken","TI","BM",9/17/2008 0:00:00
"abi","Abidji","IV","BM",6/27/2013 0:00:00
"abk","Abkhaz","GG","BM",6/27/2013 0:00:00
"abl","Lampung Nyo","ID","BM",9/17/2008 0:00:00
"abm","Abanyom","NI","BM",9/17/2008 0:00:00
"abn","Abua","NI","BM",6/27/2013 0:00:00
"abo","Abon","NI","BM",9/17/2008 0:00:00
"abp","Ayta, Abellen","RP","BM",12/17/2010 0:00:00
"abq","Abaza","RS","BM",9/17/2008 0:00:00
"abr","Abron","GH","BM",9/17/2008 0:00:00
"abs","Malay, Ambonese","ID","BM",3/7/2013 0:00:00
