"ROL4","Dialect","DialectGerman","ROL3","ROPAL","Source","EditName","EditDate"
0,,,"xxx",,"Joshua Project","BM",4/1/2010 0:00:00
2,"South Vietnamese","Südliches Vietnamesisch","vie","vie03","GRN / ROD","BM",4/1/2010 0:00:00
5,"Western Aremenian",,"hye",,"GRN / ROD","BM",4/1/2010 0:00:00
7,"Aymara",,"ayr",,"GRN / ROD","BM",4/1/2010 0:00:00
8,"Nahuatl, Huasteca Occidental",,"nhw",,"GRN / ROD","BM",4/1/2010 0:00:00
9,"Mexicano, Sierra De Puebla",,"azz",,"GRN / ROD","BM",4/1/2010 0:00:00
10,"Bambara",,"bam",,"GRN / ROD","BM",4/1/2010 0:00:00
12,"Patzun",,"cak",,"GRN / ROD","BM",4/1/2010 0:00:00
13,"Cantonese",,"yue","yue10","GRN / ROD","BM",4/1/2010 0:00:00
14,"Tumbala",,"ctu",,"GRN / ROD","BM",4/1/2010 0:00:00
15,"Chorti",,"caa",,"GRN / ROD","BM",4/1/2010 0:00:00
16,"Chontal, Oaxaca de La Costa",,"clo",,"GRN / ROD","BM",4/1/2010 0:00:00
17,"Tapotzingo",,"chf",,"GRN / ROD","BM",4/1/2010 0:00:00
18,"Cocopah",,"coc",,"GRN / ROD","BM",4/1/2010 0:00:00
19,"Creole, Haiti",,"hat",,"GRN / ROD","BM",4/1/2010 0:00:00
21,"Netherlands",,"nld",,"GRN / ROD","BM",4/1/2010 0:00:00
22,"Children",,"eng",,"GRN / ROD","BM",4/1/2010 0:00:00
23,"FranÃ§ais",,"fra",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
24,"German",,"deu",,"GRN / ROD","BM",4/1/2010 0:00:00
25,"USA",,"eng",,"GRN / ROD","BM",4/1/2010 0:00:00
31,"Kekchi",,"kek",,"GRN / ROD","BM",4/1/2010 0:00:00
32,"Kingwana",,"swc",,"GRN / ROD","BM",4/1/2010 0:00:00
33,"Kipsigis",,"niq",,"GRN / ROD","BM",4/1/2010 0:00:00
34,"Kirundi",,"run",,"GRN / ROD","BM",4/1/2010 0:00:00
35,"Bahasa Indonesia",,"ind",,"GRN / ROD","BM",4/1/2010 0:00:00
36,"Ostuncalco",,"mam",,"GRN / ROD","BM",4/1/2010 0:00:00
37,"Mandarin",,"cmn",,"GRN / ROD","BM",4/1/2010 0:00:00
40,"Mazahua",,"maz",,"GRN / ROD","BM",4/1/2010 0:00:00
41,"Huautla",,"mau",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
43,"San Miguel el Grande",,"mig",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
44,"Moore",,"mos",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
46,"Hnahnu, Mezquital",,"ote",,"GRN / ROD","BM",4/1/2010 0:00:00
47,"Brasil","Brasilianisches Portugiesisch","por","por05","GRN / ROD","BM",4/1/2010 0:00:00
48,"Totonicapan",,"quc",,"GRN / ROD","BM",4/1/2010 0:00:00
52,"Mexico",,"spa",,"GRN / ROD","BM",4/1/2010 0:00:00
56,"Mèfaa, Tlacoapa",,"tpl",,"GRN / ROD","BM",4/1/2010 0:00:00
57,"Totonac, Sierra",,"tos",,"GRN / ROD","BM",4/1/2010 0:00:00
58,"Oxchuc",,"tzh",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
59,"Saban",,"snv",,"GRN / ROD","BM",4/1/2010 0:00:00
60,"Zinacantan",,"tzo",,"GRN / ROD","BM",4/1/2010 0:00:00
66,"Zapotec, Istmo",,"zai",,"GRN / ROD","BM",4/1/2010 0:00:00
67,"Zapotec, Villa Alta",,"zav",,"GRN / ROD","BM",4/1/2010 0:00:00
68,"Copainala",,"zoc",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
70,"Ilokano",,"ilo",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
72,"Yiddish",,"ydd",,"GRN / ROD","BM",4/1/2010 0:00:00
74,"Kibanza",,"mmz",,"GRN / ROD","BM",4/1/2010 0:00:00
75,"Kikamba",,"kam",,"GRN / ROD","BM",4/1/2010 0:00:00
77,"Kisukuma",,"suk",,"GRN / ROD","BM",4/1/2010 0:00:00
79,"Sudan",,"zne",,"GRN / ROD","BM",4/1/2010 0:00:00
80,"Kikuyu",,"kik",,"GRN / ROD","BM",4/1/2010 0:00:00
82,"Popoluca, Sierra",,"poi",,"GRN / ROD","BM",4/1/2010 0:00:00
84,"Quichua, Chimborazo",,"qug",,"GRN / ROD","BM",4/1/2010 0:00:00
85,"Na",,"lhu","lhu01","GRN / ROD","BM",4/1/2010 0:00:00
86,"Wa",,"prk",,"GRN / ROD","BM",4/1/2010 0:00:00
87,"Cameroun",,"bas",,"GRN / ROD","BM",4/1/2010 0:00:00
89,"Gbi",,"bbp",,"GRN / ROD","BM",4/1/2010 0:00:00
90,"Kabuli",,"pbt",,"GRN / ROD","BM",4/1/2010 0:00:00
93,"Sheetswa",,"tsc",,"GRN / ROD","BM",4/1/2010 0:00:00
94,"Lonkutu",,"nkw",,"GRN / ROD","BM",4/1/2010 0:00:00
97,"Quechua, Bolivia",,"quh",,"GRN / ROD","BM",4/1/2010 0:00:00
98,"Muslim",,"pan",,"GRN","BM",3/11/2014 0:00:00
99,"Kasai",,"lua",,"GRN / ROD","BM",4/1/2010 0:00:00
100,"Embun",,"zmp",,"GRN / ROD","BM",4/1/2010 0:00:00
101,"Northern",,"nod",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
104,"Hmong, Flowery",,"hmd",,"GRN / ROD","BM",4/1/2010 0:00:00
107,"Knik",,"tfn",,"GRN","BM",3/11/2014 0:00:00
108,"Western Lisu",,"lis",,"GRN / ROD","BM",4/1/2010 0:00:00
109,"Kodiak",,"ale",,"GRN / ROD","BM",4/1/2010 0:00:00
111,"Eskimo Diomede",,"esk",,"GRN / ROD","BM",4/1/2010 0:00:00
112,"Assyrian",,"aii",,"GRN / ROD","BM",4/1/2010 0:00:00
113,"Foochow Colloquial Chinese",,"cdo",,"GRN / ROD","BM",4/1/2010 0:00:00
114,"Popoloca, Otlaltepec",,"pow",,"GRN / ROD","BM",4/1/2010 0:00:00
115,"Greek",,"ell",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
116,"Kituba",,"ktu",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
119,"Malemute",,"esk",,"GRN / ROD","BM",4/1/2010 0:00:00
120,"Pribilofs",,"ale",,"GRN / ROD","BM",4/1/2010 0:00:00
121,"Copper River Indian",,"aht",,"GRN / ROD","BM",4/1/2010 0:00:00
122,"Fort Yukon",,"gwi",,"GRN / ROD","BM",4/1/2010 0:00:00
123,"Tsimpshean",,"tsi",,"GRN / ROD","BM",4/1/2010 0:00:00
124,"Haida",,"hdn",,"GRN / ROD","BM",4/1/2010 0:00:00
125,"Thlinget",,"tli",,"GRN / ROD","BM",4/1/2010 0:00:00
126,"Nenana",,"taa",,"GRN","BM",3/11/2014 0:00:00
129,"Central",,"gux",,"GRN / ROD","BM",4/1/2010 0:00:00
134,"Butembo",,"nnb",,"GRN / ROD","BM",4/1/2010 0:00:00
135,"Tanzania",,"swh",,"GRN / ROD","BM",4/1/2010 0:00:00
136,"Eastern Bengali",,"ben",,"GRN / ROD","BM",4/1/2010 0:00:00
137,"Yagoua",,"mcn","mcn01","GRN / ROD","BM",4/1/2010 0:00:00
138,"Gbari",,"gbr",,"GRN / ROD","BM",4/1/2010 0:00:00
140,"Icibemba",,"bem",,"GRN / ROD","BM",4/1/2010 0:00:00
143,"Dinka, Padang",,"dip",,"GRN / ROD","BM",4/1/2010 0:00:00
144,"Malinke",,"mlq",,"GRN / ROD","BM",4/1/2010 0:00:00
145,"Otetela",,"tll",,"GRN / ROD","BM",4/1/2010 0:00:00
151,"Congo",,"swc",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
152,"Northern Sotho",,"nso",,"GRN / ROD","BM",4/1/2010 0:00:00
153,"Luo",,"luo",,"GRN / ROD","BM",4/1/2010 0:00:00
154,"West-Central",,"lia",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
155,"Temne",,"tem",,"GRN / ROD","BM",4/1/2010 0:00:00
157,"Ao Naga",,"njo",,"GRN / ROD","BM",4/1/2010 0:00:00
158,"Eskimo, Kuskokwim",,"kuu",,"GRN / ROD","BM",4/1/2010 0:00:00
160,"Labrador",,"ike",,"GRN / ROD","BM",4/1/2010 0:00:00
163,"Ikiribati",,"gil",,"GRN / ROD","BM",4/1/2010 0:00:00
164,"Eastern Fulfulde, Adamawa",,"fub",,"GRN / ROD","BM",4/1/2010 0:00:00
166,"Chokwe",,"cjk",,"GRN / ROD","BM",4/1/2010 0:00:00
