"ROL3","ROG3","LangAltName","NameType","Source","EditName","EditDate"
"adz",,"Guruf-Ngariawang (Ngariawan)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adz",,"Amari","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aeb",,"Sahil","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aeb",,"Sfax","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aeb",,"South-Eastern Tunisian","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aeb",,"South-Western Tunisian","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aeb",,"Tunis","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aeb",,"North-Western Tunisian","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aed",,"Córdoba Sign Language","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aee",,"Kurdar","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aee",,"Chalas (Chilas)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aer",,"Akarre","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aer",,"Antekerrepenh","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aer",,"Ikngerripenhe","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aer",,"Mparntwe Arrernte","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aer",,"Upper Aranda","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aew",,"Northern Ambakich (Antanau)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aew",,"Southern Ambakich","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"afb",,"Khamseh","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"afb",,"Al-Hasâ","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"afe",,"Ukwortung (Okorotung)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"afe",,"Utukwang","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"afe",,"Utugwang (Otukwang)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"afe",,"Mbe East","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"afe",,"Upper Mbe","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"afe",,"Utumane","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adn","ID","Alor","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"ado","PP","Adjora","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"ado","PP","Adjoria","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"ado","PP","Azao","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adq","GH","Adan","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adb",,"Raklungu","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adb",,"Resuk","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adb",,"Rahesuk","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ade",,"Lower Adele","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ade",,"Upper Adele","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adi",,"Komkar","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adi",,"Pailibo","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adi",,"Bokar (Boga'er Luoba)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adl",,"Lare","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adl",,"Pugo","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adl",,"Karka","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ado",,"Auwa","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ado",,"Sabu","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adx",,"Panags","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adx",,"Sbranag","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adx",,"Sbanag","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adx",,"Panang (Banag)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adx",,"Panakha","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adx",,"Banang","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adx",,"Pananag","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ady",,"Natuzaj (Natukhai)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ady",,"Abadzex (Abadzakh)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ady",,"Temirgoj","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ady",,"Shapsug (Sapsug)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ady",,"Abadzeg","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ady",,"Bezhedukh (Bzedux)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ady",,"Bzhedug","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ady",,"Chemgui","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adz",,"Tsumanggorun","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adz",,"Yarus","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"adz",,"Ngarowapum","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aab","NI","Arum-Chessu","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"ahg",,"Hwarasa (Kara)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ahg",,"Dembya","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ahs",,"Uchek","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ahs",,"Unorr","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aig",,"Barbuda Creole English","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aig",,"Antiguan Creole English","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aig",,"Nevis Creole English","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Upper Barwari","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Qudshanis","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
