"ROL4","AlternateDialectName","Source","EditName","EditDate"
499,"Purari","GRN / ROD","BM",4/1/2010 0:00:00
500,"Basilaki","GRN / ROD","BM",4/1/2010 0:00:00
500,"Bassilaki","GRN / ROD","BM",4/1/2010 0:00:00
500,"Bohilai","GRN / ROD","BM",4/1/2010 0:00:00
500,"Bohira'i","GRN / ROD","BM",4/1/2010 0:00:00
502,"Ewage-notu","GRN / ROD","BM",4/1/2010 0:00:00
503,"Binadere","GRN / ROD","BM",4/1/2010 0:00:00
503,"Ioma Binandere","GRN / ROD","BM",4/1/2010 0:00:00
507,"Hockchew","GRN / ROD","BM",4/1/2010 0:00:00
507,"Hokchia","GRN / ROD","BM",4/1/2010 0:00:00
508,"Tai  Nua","GRN / ROD","BM",4/1/2010 0:00:00
508,"Tai Pong","GRN / ROD","BM",4/1/2010 0:00:00
508,"Yongren","GRN / ROD","BM",4/1/2010 0:00:00
510,"Tingau","GRN / ROD","BM",4/1/2010 0:00:00
510,"Tingau Ii","GRN / ROD","BM",4/1/2010 0:00:00
516,"Tumleo","GRN / ROD","BM",4/1/2010 0:00:00
520,"Ulau-suain","GRN / ROD","BM",4/1/2010 0:00:00
522,"Belerupu","GRN / ROD","BM",4/1/2010 0:00:00
522,"Vilirupu","GRN / ROD","BM",4/1/2010 0:00:00
524,"Adzera","GRN / ROD","BM",4/1/2010 0:00:00
526,"Tami","GRN / ROD","BM",4/1/2010 0:00:00
531,"Mahaxay","GRN / ROD","BM",4/1/2010 0:00:00
531,"So","GRN / ROD","BM",4/1/2010 0:00:00
534,"Mugumugu","GRN / ROD","BM",4/1/2010 0:00:00
535,"Kovai","GRN / ROD","BM",4/1/2010 0:00:00
539,"Dilava","GRN / ROD","BM",4/1/2010 0:00:00
539,"Dilava River","GRN / ROD","BM",4/1/2010 0:00:00
548,"Kuman Of Ega","GRN / ROD","BM",4/1/2010 0:00:00
549,"Pauaiu","GRN / ROD","BM",4/1/2010 0:00:00
550,"Uare","GRN / ROD","BM",4/1/2010 0:00:00
552,"Nobone","GRN / ROD","BM",4/1/2010 0:00:00
552,"Wiga","GRN / ROD","BM",4/1/2010 0:00:00
555,"Arop-lokep","GRN / ROD","BM",4/1/2010 0:00:00
555,"Lokep","GRN / ROD","BM",4/1/2010 0:00:00
556,"Kaduwoga","GRN / ROD","BM",4/1/2010 0:00:00
