"PeopleID3","ROG3","PeopName","PeopNameSpanish","PeopNameGerman","PeopNamePortuguese","PeopNameFrench","PeopNameIndonesian","PeopNameThai","PeopNameHindi","JPScaleOld","JPScale","JPScaleBasis","JPScaleDate","JPScaleSource","LeastReached","LeastReachedBasis","IndigenousCode","LocalPopl","PopulationRounded","PopulationPercentUN","PopulationSource","FTTUnengagedFocus","Security","Memo","Dalit","HighPlacesEthne","EthneMonth","WorldMapExists","CandidateForMap","MapMadeDate","Latitude","Longitude","LocConfidence","Prime250","Gateway250-ID","LTW-Month","LTW-Day","Source","EditName","EditDate","AddDate"
10119,"PP","Abaga",,,,,,,,"3.2",5,,,,,,"Y",340,300,4.372428e-03,,,0,"Bilingual in Kamano and Banabena",,,6,"P","Y",,-6.11,145.66,,,,,,,"Tom",10/4/2000 0:00:00,
10120,"MY","Abai Sungai",,,,,,,,"1.1",1,,,,"Y",,"Y",1400,1400,4.552549e-03,,,2,"Sabah malay used as second language",,,6,"P","Y",5/24/2005 0:00:00,5.68,118.37,,,,,,,"BM",10/31/2003 0:00:00,
10121,"RP","Sama, Abaknon",,,,,,,,"3.2",5,,,,,,"Y",29413,29000,0.02,,,0,,,,6,"L","Y",,12.42,124.16,,,,,,,"BM",8/5/2009 0:00:00,
10122,"NI","Abanyom",,,,,,,,"3.2",5,,,,,,"Y",29545,30000,0.01,,,0,,,,2,"P","Y",,6.29,8.63,,,,,,,"BM",9/11/2002 0:00:00,
10123,"PP","Abasakur",,,,,,,,"3.2",5,,,,,,"Y",1733,1700,0.02,,,0,,,,6,"P","Y",,-4.75,145.23,,,,,,,"BM",3/24/2003 0:00:00,
10124,"PP","Abau, Green River",,,,,,,,"3.2",5,,,,,,"Y",10834,11000,0.13,,,0,,,,6,"P","Y",,-4.05,141.21,,,,,,,"BM",3/24/2003 0:00:00,
10125,"EG","Abaza, Arabized",,"Abasinen",,,,,,"1.1",1,,,,"Y",,"Y",13110,13000,0.01,,,0,,,,12,,"Y",,30.76,31.07,,,,,,,"bm",9/8/2008 0:00:00,9/8/2008 0:00:00
10125,"RS","Abaza",,"Abasinen",,,,,,"1.2",1,,,,"Y",,"Y",44524,45000,0.03,,,1,,,,3,,"Y",5/24/2005 0:00:00,44.22,41.88,,,,,,,"BM",5/7/2013 0:00:00,
10125,"TU","Abaza",,"Abasinen",,,,,,"1.1",1,,,,"Y",,"N",12987,13000,0.01,,,2,,,,11,,"Y",5/24/2005 0:00:00,41.12,42.72,,,,,,,"Tom",10/4/2000 0:00:00,
10126,"IV","Abe, Abbey",,,,,,,,"3.2",4,,,,,,"Y",261611,262000,1.12,,,0,,,,2,"P","Y",,5.91,-4.29,,,,,,,"BM",10/16/2000 0:00:00,
10127,"IV","Abidji",,,,,,,,"3.2",4,,,,,,"Y",83041,83000,0.35,,,0,,,,2,"P","Y",,5.63,-4.58,,,,,,,"BM",10/16/2000 0:00:00,
10128,"PP","Abie, Abia",,,,,,,,"3.2",5,,,,,,"Y",1209,1200,0.01,,,0,,,,6,"P","Y",,-9.78,148.50,,,,,,,"Tom",10/4/2000 0:00:00,
10129,"NI","Jukun, Wanu",,,,,,,,"3.1",4,,,,,,"Y",5255,5300,2.810341e-03,,,0,,,,2,"P","Y",,7.82,8.94,,,,,,,"BM",9/11/2002 0:00:00,
10130,"GG","Abkhaz",,"Abchasier, Abchasen",,,,,,"2.2",2,,,,,,"Y",114133,114000,2.86,,,0,,,,3,"P","Y",5/24/2005 0:00:00,43.22,40.86,,,,,,,"Tom",10/4/2000 0:00:00,
