"PeopleID2","PeopleCluster","PeopleClusterSpanish","PeopleClusterGerman","PeopleClusterPortuguese","PeopleClusterFrench","JPScalePCOld","JPScalePC","PercentChristianPC","PercentEvangelicalPC","LeastReachedPC","RLG3PC","ROP2","PeopleID1","RegionCode","USCWMFocus","EthneFocus","MUPPriority","Notes","Profile","ProfileSource","Source","GoogleMapZoom","GoogleMapLat","GoogleMapLng","EditName","EditDate"
100,"Aborigine","Aborigen","Aborigines",,"Aborigène","3.2",5,77.33,21.54,,1,"C0001",19,1,,,,,"",,,4.00,-23.30,136.00,"BM",10/30/2003 0:00:00
101,"Aceh of Sumatra","Aceh de Sumatra","Achinesen",,"Aceh du Sumatra","1.2",1,0.10,0.06,"Y",6,"C0002",17,2,"Y",5,,,"The Aceh of Sumatra cluster occupies the northern portion of the island of Sumatra, the “largest unevangelized island on earth”. This is the only part of Indonesia that has implemented Shari’I law, for certain situations.
The history of Aceh is one of centuries of conflict with Dutch and British colonial powers, and since 1949 the Indonesian army, all seeking control of its strategic position and natural resources. This has made the Aceh people hostile to Christianity.
The 2004 Asian tsunami killed more than 200,000 people, most of them in Aceh province. The tsunami effectually ended the decades-old uprising of the Aceh against Indonesian rule. There were fewer than 400 Christians before the tsunami, but there have been recent increases in this number. Many Indonesian and foreign Christians came to the aid of the victims, which gained considerable credit for the Gospel.
There are indications the Aceh people were exposed to Hinduism in the past, but today are often considered the most conservative Muslim group in all of Indonesia. They have been very instrumental in spreading Islam throughout Indonesian and other Southeast Asian countries.
Orthodox Islam for many Aceh people is combined with animistic beliefs in spirits and various superstitions. These beliefs center on seeking protection through magic by either appeasing or controlling both good and bad spirits.
Pray those in the Aceh people cluster will allow Christians to help them in various ways, and that they will realize the love of Christ is the motivating factor.",,,4.00,3.00,101.50,"BM",10/30/2003 0:00:00
102,"Adamawa-Ubangi","Adamawa-Ubangi","Adamawa-Ubangi",,"Adamawa-Ubangi","3.2",5,68.17,22.25,,1,"C0003",22,8,,,,,"",,,4.00,7.40,15.50,"BM",10/30/2003 0:00:00
103,"Adi","Adi","Adi",,"Adi","2.1",3,33.59,0.00,,9,"C0004",23,4,,,,,"",,,5.00,26.50,95.00,"BM",10/30/2003 0:00:00
104,"Afar","Afar","Afar",,"Afar","1.2",1,3.70,0.03,"Y",6,"C0005",13,7,"Y",,"Y",,"The Afar (or Danakil) are located in the East African countries of Djibouti, Somalia, Ethiopia, and Eritrea. They prefer to be known as the Afar, since the Arabic word danakil is an offensive term to them.They began to convert to Islam in the 10th century after contact with Arabs. The brand of Islam they practice is heavily syncretic and includes many elements of their older, indigenous religion, (focused on the Sky God).
The ancestors of the Afar settled farm land in the Ethiopian highlands some time before AD 1000 and primarily raised livestock. Some time after this they began a gradual transition to a more nomadic lifestyle and moved to the area they currently occupy. Since then they have been involved in many conflicts with bordering tribes and peoples.
Traditionally the society is ruled by sultanates made up of several villages, headed by a 'dardar'. Afar are organised into clan families, and into classes - asaimara ('reds') who are the dominant class politically, and the adoimara ('whites') who are a working class and usually live in the desert.
The Afar are nominally Muslim, but a minimal level of orthodoxy in practice is attained only in the coastal regions and in the sultanates. The nomads of the interior are lax, and, though they hold Islam in great esteem, their own practices are more in line with the earlier Cushitic religion.
The Afar subsistence economy depends on livestock, especially goats, some camels, and, more rarely, cattle. There are some exceptions, such as fishermen in the coastal areas and agriculturalists in the Assau oasis. The Afar also mine and export salt.
Those who live in the desert inhabit one of the most rugged regions in the world, known as the Afar Plain or the Danakil Desert. The Afar live in camps surrounded by thorn barricades, which protect them from the attacks of wild animals or enemy tribesmen.
Spirits of the dead are believed to be very powerful, and a ""feast of the dead,"" called Rabena, is celebrated each year. They also give annual offerings to the sea to ensure safety for their villages. Many people wear protective leather amulets that contain herbs and verses from the Koran.",,,5.00,12.00,41.00,"BM",10/30/2003 0:00:00
105,"Aimaq","Aimaq","Aimaken",,"Aimaq","1.1",1,0.00,0.00,"Y",6,"C0007",14,5,"Y",9,,,"The Aimaq cluster is part of the Persian-Median Affinity Bloc. The peoples in this Bloc speak related languages that have their origins some 3,500 years ago. Peoples in the Aimaq cluster traditionally speak the Aimaq language, which is in the Indo-Iranian language family. The literacy rate for speakers of this language is given as 5-15%. Aimaq is not a writtten language.
The Aimaq language does not have recorded scripture available, nor does it have Gospel recordings or other media. However, many Aimaq people now also speak other languages, such as Dari, which do have resources available.
The term Aimaq is probably derived from the Turkish ""Eimak"", which means tribe.
Once nomadic peoples, they were forced by cycles of severe drought and war into semi-nomadic lives, traveling seasonally to graze decimated herds and/or subsisting as sedentary farmers and carpet weavers in mud-brick villages.
There are no reports of followers of Jesus Christ among the 2,000,000 individuals in the Aimaq cluster. They have few if any resources available in their traditional language. They are largely cutoff from the life-giving message of Christ.
Peoples of the Aimaq cluster reside in Afghanistan, Iran, and Tajikistan, which are all quite difficult for Christians to enter for purposes of ministry. Perhaps Persian Christians in Iran will be lead by God's Spirit to find Aimaq people in their land in order to tell them of Christ.
Pray for the Aimaq tribes to increase their literacy rate and be able to find ways to improve their standard of living. Pray for hearts that yearn to know the love and forgiveness offered through Jesus Christ.",,,4.00,33.00,72.00,"BM",10/30/2003 0:00:00
106,"Albanian","Albanés","Albaner",,"Albanais","2.2",3,23.00,0.41,,6,"C0008",12,9,,,"Y",,"",,,4.00,43.60,17.20,"BM",10/30/2003 0:00:00
107,"Altaic","Altaica","Altaische Völker",,"Altaic","1.2",1,1.60,0.40,"Y",7,"C0009",24,5,"Y",,,,"The Altaic name comes from the Altai Mountains, a mountain range in Central Asia. People groups in this cluster are scattered across Siberia and northern China. The term Altaic refers to a family of languages which includes Turkic and Mongolic languages.
The word order of Altaic languages is subject, object, verb, and may lack gender words such as he and she.
Many groups in this cluster are superficially Christian but in reality are Shamanists or Buddhists or non-religious. Most have been only marginally evangelized.",,,3.00,42.20,114.60,"BM",10/30/2003 0:00:00
108,"Amazon","Amazónico","Amazonasvölker",,"Amazone","3.2",4,84.51,9.85,,1,"C0010",16,11,,,,,"",,,4.00,-5.70,-57.40,"BM",10/30/2003 0:00:00
109,"Anglo-American","Anglo-Americano","Angloamerikaner",,"Anglo-américain","3.2",5,80.97,32.93,,1,"C0011",18,12,,,,,"",,,3.00,18.60,-72.00,"BM",10/30/2003 0:00:00
