"PeopleID3","PeopName","Pronunciation","PeopNameSpanish","PeopNameGerman","PeopNamePortuguese","PeopNameFrench","PeopNameIndonesian","PeopNameThai","PeopNameHindi","ROP3_31Dec2009","ROP3","PeopleID2","JPScalePGACOld","JPScalePGAC","PercentChristianPGAC","PercentEvangelicalPGAC","LeastReachedPGAC","ROG3Largest","NbrCountries","PopulationPGAC","ROL3PGAC","RLG3PGAC","RaceCode","OmidCommunityName","OmidNCode","LargeSouthAsianLanguageROL3","Memo","Source","EditName","EditDate"
10119,"Abaga",,,,,,,,,100004,100004,244,"3.2",5,100.00,20.00,,"PP",1,300,"abg",1,"AON09b",,,,"Bilingual in Kamano and Banabena",,"TW",10/4/2000 0:00:00
10120,"Abai Sungai",,,,,,,,,100005,100005,155,"1.1",1,0.00,0.00,"Y","MY",1,1400,"abf",6,"MSY44z",,,,"Sabah malay used as second language",,"TW",10/4/2000 0:00:00
10121,"Sama, Abaknon",,,,,,,,,100006,100006,166,"3.2",5,80.00,15.00,,"RP",1,29000,"abx",1,"MSY44z",,,,,,"TW",10/4/2000 0:00:00
10122,"Abanyom",,,,,,,,,100008,100008,140,"3.2",5,92.00,12.00,,"NI",1,30000,"abm",1,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
10123,"Abasakur",,,,,,,,,100009,100009,244,"3.2",5,100.00,28.00,,"PP",1,1700,"abw",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
10124,"Abau",,,,,,,,,100010,100010,244,"3.2",5,98.00,24.00,,"PP",1,11000,"aau",1,"AON10a",,,,,,"TW",10/4/2000 0:00:00
10125,"Abaza",,,"Abasinen",,,,,,100011,100011,157,"1.1",1,0.68,0.01,"Y","RS",3,71000,"abq",6,"CEW17a",,,,,,"TW",10/4/2000 0:00:00
10126,"Abe",,,,,,,,,100013,100013,181,"3.2",4,90.00,10.00,,"IV",1,262000,"aba",1,"NAB59k",,,,,,"TW",10/4/2000 0:00:00
10127,"Abidji",,,,,,,,,100014,100014,181,"3.2",4,92.00,6.00,,"IV",1,83000,"abi",1,"NAB59k",,,,,,"TW",10/4/2000 0:00:00
10128,"Abie",,,,,,,,,100015,100015,244,"3.2",5,100.00,17.00,,"PP",1,1200,"aby",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
10129,"Jukun, Wanu",,,,,,,,,100016,100016,140,"3.1",4,10.00,3.00,,"NI",1,5300,"jub",4,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
10130,"Abkhaz",,,"Abchasier, Abchasen",,,,,,100018,100018,157,"2.2",3,31.39,0.44,,"TU",6,293700,"abk",6,"CEW17a",,,,,,"TW",10/4/2000 0:00:00
10131,"Abnaki-Penobscot",,,,,,,,,100021,100021,246,"3.1",4,86.42,3.00,,"CA",2,3900,"fra",1,"MIR38a",,,,"20 speakers",,"TW",10/4/2000 0:00:00
10132,"Abo",,,,,,,,,100022,100022,347,"3.1",4,70.00,2.50,,"CM",1,19000,"abb",1,"NAB57k",,,,,,"TW",10/4/2000 0:00:00
10133,"Abong",,,,,,,,,100023,100023,140,"3.2",4,60.00,7.00,,"NI",1,1900,"abo",1,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
10134,"Aborigine Creole",,"Aborigen Criollo","Aborigines-Kreolen",,"Métis Aborigène","Peranakan Aborigin",,,100025,100025,100,"3.2",5,90.00,30.00,,"AS",1,4400,"rop",1,"AUG02",,,,,,"TW",10/4/2000 0:00:00
10135,"Tagbanwa, Aborlan",,,,,,,,,100026,100026,168,"3.2",4,15.00,7.00,,"RP",1,13000,"tbw",4,"MSY44m",,,,,,"TW",10/4/2000 0:00:00
10136,"Abu Sharib",,,,,,,,,100027,100027,264,"1.1",1,0.01,0.00,"Y","CD",1,74000,"mgb",6,"NAB66d",,,,,,"BM",12/10/2002 0:00:00
10137,"Abua",,,,,,,,,100028,100028,140,"3.2",5,86.00,11.00,,"NI",1,45000,"abn",1,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
10138,"Abui",,,,,,,,,100029,100029,171,"3.2",5,50.00,12.00,,"ID",1,16000,"abz",1,"AON10e",,,,,,"TW",10/4/2000 0:00:00
10139,"Abun",,,,,,,,,100030,100030,244,"3.2",5,60.00,13.00,,"ID",1,4100,"kgr",1,"AON10a",,,,,,"TW",10/4/2000 0:00:00
10140,"Lampung Abung",,,,"Abung lampung",,,,,100031,100031,209,"1.1",1,0.00,0.00,"Y","ID",1,197000,"abl",6,"MSY44k",,,,,,"TW",10/4/2000 0:00:00
10141,"Abure",,,,,,,,,100032,100032,181,"3.2",4,92.00,7.00,,"IV",1,91000,"abu",1,"NAB59k",,,,,,"TW",10/4/2000 0:00:00
10142,"Ayta, Abellen",,,,,,,,,100033,100033,168,"3.1",4,35.00,5.00,,"RP",1,3500,"abp",4,"AUG05",,,,,,"TW",10/4/2000 0:00:00
10143,"Tlapaneco, Acatepec","tlah-pah-NEH-koh, ah-kah-teh-PEK",,,,,,,,100034,100034,257,"2.2",2,96.92,1.01,,"MX",2,50200,"tpx",1,"MIR38a",,,,"10,000 monolinguals",,"BM",6/17/2003 0:00:00
10144,"Acehnese",,,,"Aceh",,,,,100036,100036,101,"1.2",1,0.11,0.07,"Y","ID",2,3526000,"ace",6,"MSY44b",,,,"1.6% of Indonesia population",,"TW",10/4/2000 0:00:00
10145,"Achagua",,,,,,,,,100037,100037,290,"3.2",5,70.00,12.00,,"CO",1,300,"aca",1,"MIR39e",,,,"Pelople trilingual in Acagua, spanish and Piapoco",,"TW",10/4/2000 0:00:00
10146,"Achang","Ah-tsung",,,,,,,,100038,100038,317,"3.2",5,16.15,14.00,,"BM",2,72000,"acn",4,"MSY50f",,,,,,"TW",10/4/2000 0:00:00
10147,"Ache","Ah-Cheh",,,,,,,,100040,100040,290,"3.2",4,55.00,8.00,,"PA",1,1600,"guq",1,"MIR39e",,,,"""Guayaki"" is considered derogatary",,"TW",10/4/2000 0:00:00
10148,"Acipawa",,"Achipawa, Oriental","Achipawa, Östliche",,"Acipawa",,,,100041,100041,140,"3.1",4,20.00,4.00,,"NI",1,9400,"acp",4,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
10149,"Acholi",,,,,,,,,100042,100042,245,"3.2",5,96.74,40.17,,"UG",2,2069000,"ach",1,"NAB62a",,,,,,"TW",10/4/2000 0:00:00
10150,"Achuar Jivaro",,,,,,,,,100045,100045,290,"2.2",3,14.46,1.46,,"EC",2,12500,"acu",4,"MIR39d",,,,,,"BM",1/12/2004 0:00:00
10151,"Achumawi",,,,,,,,,100046,100046,246,"3.1",4,60.00,3.00,,"US",1,1000,"acv",1,"MIR38a",,,,"10 speakers, Northeastern California",,"TW",10/4/2000 0:00:00
10152,"Acipanci",,,,,,,,,100047,100047,140,"3.2",4,25.00,5.15,,"NI",1,37000,"awc",6,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
10153,"Adabe",,,,,,,,,100050,100050,305,"3.1",4,64.00,2.50,,"TT",1,5500,"adb",1,"AON10e",,,,,,"TW",10/4/2000 0:00:00
10154,"Adan, Adangbe",,,,,,,,,100052,100052,181,"3.2",5,95.00,15.46,,"GH",2,10500,"adq",1,"NAB59b",,,,,,"TW",10/4/2000 0:00:00
10155,"Itneg, Adasen Tinguian",,,,,,,,,100055,100055,168,"3.2",4,17.00,7.00,,"RP",1,5400,"tiu",4,"MSY44x",,,,,,"TW",10/4/2000 0:00:00
10156,"Lolo, Adele",,,,,,,,,100059,100059,181,"3.2",4,20.00,5.36,,"TO",2,43000,"ade",4,"NAB59b",,,,,,"TW",10/4/2000 0:00:00
10157,"Dzodinka",,,,,,,,,100060,100060,333,"2.2",2,63.53,1.72,,"NI",2,8200,"add",1,"NAB57a",,,,"Consider themselves to be ethnically Mfumte",,"TW",10/4/2000 0:00:00
10158,"Aja",,,,,,,,,100074,100074,181,"3.2",5,32.11,10.57,,"BN",2,962000,"ajg",4,"NAB59e",,,,"Gbe ending means language",,"TW",10/4/2000 0:00:00
10159,"Adjora",,,,,,,,,100075,100075,244,"3.2",5,100.00,22.00,,"PP",1,6300,"ado",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
10160,"Aduge",,,,,,,,,100078,100078,181,"3.1",4,25.00,5.00,,"NI",1,3400,"adu",4,"NAB59c",,,,,,"TW",10/4/2000 0:00:00
10161,"Adyghe",,,"Adygeer","Adigue",,,,,100079,100079,157,"1.1",1,0.03,0.00,"Y","TU",12,504000,"ady",6,"CEW17a",,,,,,"BM",6/17/2003 0:00:00
10162,"Adjoukrou",,,,,,,,,100081,100081,181,"3.1",4,90.00,3.00,,"IV",1,137000,"adj",1,"NAB59k",,,,,,"TW",10/4/2000 0:00:00
10163,"Yewa Bule",,,,,,,,,100082,115798,244,"3.2",5,95.00,28.00,,"PP",1,2900,"bhg",1,"AON11b",,,,,,"TW",10/4/2000 0:00:00
10164,"Aeke",,,,,,,,,100083,100083,243,"3.2",5,100.00,20.00,,"NC",1,300,"aek",1,"AON09a",,,,,,"TW",10/4/2000 0:00:00
10165,"Negrito, Aeta Zambal",,,,,,,,,100085,100085,168,"3.1",4,7.00,3.50,,"RP",1,45000,"sbl",4,"AUG05",,,,,,"TW",10/4/2000 0:00:00
10166,"Kotoko, Afade",,,,"Kotoko afade",,,,,100086,100086,158,"1.2",1,2.28,0.42,"Y","NI",2,47800,"aal",6,"NAB60b",,,,,,"TW",10/4/2000 0:00:00
10167,"Afitti",,,,,,,,,100090,100090,249,"1.1",1,0.00,0.00,"Y","SU",1,4700,"aft",6,"NAB62m",,,,,,"TW",10/4/2000 0:00:00
10168,"Afrikaner",,"Afrikáner","Afrikaaner",,"Afrikaner",,,"????????",100093,100093,175,"3.2",5,89.39,21.16,,"SF",15,4089900,"afr",1,"CEW19a","Boer","BOER",,,,"TW",10/4/2000 0:00:00
10169,"Afro-Seminole",,,"Schwarze Seminolen",,,,,,100095,100095,329,"2.2",2,90.00,2.00,,"MX",2,700,"afs",1,"NFB71b",,,,"Spoken by several hundred older people in Nacimiento",,"BM",1/12/2004 0:00:00
10170,"Agala",,,,,,,,,100097,100097,244,"3.2",4,40.00,7.00,,"PP",1,800,"agl",4,"AON09b",,,,,,"TW",10/4/2000 0:00:00
10171,"Agarabi",,,,,,,,,100100,100100,244,"3.2",5,98.00,31.00,,"PP",1,40000,"agd",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
10172,"Agatu",,,,,,,,,100103,100103,140,"3.2",4,81.00,8.00,,"NI",1,158000,"agc",1,"NAB59z",,,,,,"TW",10/4/2000 0:00:00
10173,"Agavotaguerra",,,,,,,,,100104,100104,108,"2.2",3,35.00,1.00,,"BR",1,100,"por",4,"MIR39d",,,,,,"BM",5/17/2005 0:00:00
10174,"Esimbi",,,,,,,,,100105,100105,333,"3.2",5,24.96,19.97,,"CM",2,25300,"ags",4,"NAB57a",,,,,,"TW",10/4/2000 0:00:00
10175,"Aghem",,,,,,,,,100107,100107,333,"3.2",4,75.00,7.00,,"CM",1,44000,"agq",1,"NAB57a",,,,,,"TW",10/4/2000 0:00:00
10176,"Aghu",,,,,,,,,100111,100111,244,"3.2",5,70.00,11.00,,"ID",1,4600,"ahh",1,"AON10a",,,,,,"TW",10/4/2000 0:00:00
10177,"Agi",,,,,,,,,100113,100113,244,"3.2",5,100.00,22.00,,"PP",1,1300,"aif",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
10178,"Agob",,,,,,,,,100114,100114,244,"3.2",5,100.00,22.00,,"PP",1,3600,"kit",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
10179,"Agoi",,,,,,,,,100115,100115,140,"3.2",5,90.00,13.00,,"NI",1,21000,"ibm",1,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
10180,"Agta, Dupaninan",,,,,,,,,100120,100120,168,"3.1",4,10.00,3.00,,"RP",1,2200,"duo",4,"AUG05",,,,,,"TW",10/4/2000 0:00:00
10181,"Aguacatec",,,,,,"Aguacatek",,,100122,100122,257,"3.2",4,85.00,6.00,,"GT",1,28000,"agu",1,"MIR37b",,,,,,"TW",10/4/2000 0:00:00
10182,"Macaguan, Agualinda Guajibo",,"Macaguán, Agualinda Guajibo",,,"Macaguane Agualinda Guajibo",,,,100123,100123,290,"3.2",5,50.00,13.00,,"CO",1,300,"mbn",1,"MIR39d",,,,,,"TW",10/4/2000 0:00:00
10183,"Aguaruna",,,,,,,,,100125,100125,108,"2.2",3,7.00,0.10,,"PE",1,47000,"agr",4,"MIR39d",,,,,,"TW",10/4/2000 0:00:00
10184,"Aghul",,,"Agulier, Agulen",,,,,,100126,100126,157,"1.1",1,0.00,0.00,"Y","RS",1,35000,"agx",6,"CEW17b",,,,,,"TW",10/4/2000 0:00:00
10185,"Aguna",,,,,,,,,100127,100127,320,"3.2",4,33.61,7.53,,"BN",2,33000,"aug",4,"NAB59n",,,,"Bilingual in Fongbe.",,"TW",10/4/2000 0:00:00
10186,"Manobo, Agusan",,,,,,,,,100129,100129,168,"3.2",4,8.00,6.00,,"RP",1,72000,"msm",4,"MSY44x",,,,,,"TW",10/4/2000 0:00:00
10187,"Agutaynon",,,,,,,,,100130,100130,168,"3.2",4,90.00,9.00,,"RP",1,18000,"agn",1,"MSY44m",,,,,,"TW",10/4/2000 0:00:00
10188,"Agwagwune",,,,,,,,,100131,100131,140,"3.2",5,93.00,11.00,,"NI",1,37000,"yay",1,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
10189,"Akan-Ahafo",,,,,,,,,100133,100133,181,"3.2",5,85.00,20.00,,"GH",1,95000,"aka",1,"NAB59a",,,,,,"BM",7/16/2003 0:00:00
10190,"Ahamb",,,,,,,,,100134,100134,315,"3.2",5,100.00,45.00,,"NH",1,1000,"ahb",1,"AON09c",,,,,,"TW",10/4/2000 0:00:00
10191,"Ahan",,,,,,,,,100135,100135,140,"1.1",1,0.00,0.00,"Y","NI",1,500,"ahn",4,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
10192,"Ahanta",,,,,,,,,100137,100137,181,"3.2",5,90.00,23.00,,"GH",1,203000,"aha",1,"NAB59a",,,,,,"TW",10/4/2000 0:00:00
10193,"Ahtena",,,,,,,,,100144,100144,246,"3.1",4,70.00,3.00,,"US",1,50,"aht",1,"MIR38a",,,,"21 speakers; SC Alaska",,"TW",10/4/2000 0:00:00
10194,"Popoloca, Santa Ines Ahuatempan","poh-poh-LOH-kah, SAHN-tah ee-NESS ah-wah-TAYM-pahn","Popoloca, Santa Inés Ahuatempan",,,"Popoloca de Sainte-Ines Ahuatempan",,,,100145,100145,321,"2.2",2,95.00,0.80,,"MX",1,5200,"pca",1,"MIR37z",,,,,,"TW",10/4/2000 0:00:00
10195,"Ai-Cham","Eye-chum",,,,,,,,100146,100146,150,"1.2",1,0.50,0.20,"Y","CH",1,3000,"aih",4,"MSY49z",,,,,,"TW",10/4/2000 0:00:00
10196,"Aiku",,,,,,,,,100147,100147,244,"3.2",5,100.00,23.00,,"PP",1,1100,"ymo",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
10197,"Aikwakai",,,,,,,,,100148,100148,244,"3.2",5,55.00,12.00,,"ID",1,1100,"tty",1,"AON10a",,,,,,"TW",10/4/2000 0:00:00
10198,"Aimaq, Firozkohi",,,"Aimaken, Firozkohi","Aimaq firozkohi",,,,,100150,100150,105,"1.1",1,0.00,0.00,"Y","AF",1,290000,"aiq",6,"CNT24z",,,,,,"TW",10/4/2000 0:00:00
10199,"Aimaq, Hazara",,,"Aimaken, Hazara","Aimaq hazara",,,,,100151,100151,105,"1.1",1,0.00,0.00,"Y","AF",2,235200,"aiq",6,"CNT24z",,,,,,"TW",10/4/2000 0:00:00
10200,"Aimaq, Jamshidi",,,"Aimaken, Jamshedi","Aimaq jamshidi",,,,,100152,100152,105,"1.1",1,0.00,0.00,"Y","AF",2,157000,"aiq",6,"CNT24z",,,,,,"TW",10/4/2000 0:00:00
10201,"Aimaq, Taimani",,,"Aimaken, Taimani","Aimaq Taimani",,,,,100153,100153,105,"1.1",1,0.00,0.00,"Y","AF",1,581000,"aiq",6,"CNT24z",,,,,,"TW",10/4/2000 0:00:00
10202,"Aimaq, Timuri",,,"Aimaken, Teymuri","Aimaq timuri",,,,,100154,100154,105,"1.1",1,0.00,0.00,"Y","IR",2,341000,"aiq",6,"CNT24z",,,,,,"TW",10/4/2000 0:00:00
10203,"Aimele",,,,,,,,,100155,100155,244,"2.2",3,10.00,1.60,,"PP",1,200,"ail",4,"AON09b",,,,,,"TW",10/4/2000 0:00:00
10204,"Ainbai",,,,,,,,,100157,100157,244,"3.2",5,95.00,19.00,,"PP",1,100,"aic",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
10205,"Ainu",,,,,,,,,100158,100158,100,"2.2",3,20.00,1.00,,"JA",1,15000,"jpn",4,"AUG01b",,,,"Only 15 speakers; integrated into japanese culture.",,"TW",10/4/2000 0:00:00
10206,"Aiome",,,,,,,,,100159,100159,244,"3.2",5,90.00,27.00,,"PP",1,1400,"aki",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
10207,"Aion",,,,,,,,,100160,100160,244,"3.2",5,100.00,21.00,,"PP",1,1100,"aew",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
10208,"Tuareg, Air",,,,"Tuaregue de Air",,,,,100161,100161,307,"1.2",1,0.20,0.20,"Y","NG",1,388000,"thz",6,"CMT32h",,,,,,"TW",10/4/2000 0:00:00
10209,"Airoran",,,,,,,,,100163,100163,244,"3.2",5,65.00,12.00,,"ID",1,1400,"air",1,"AON10a",,,,,,"TW",10/4/2000 0:00:00
10210,"Aizi, Aproumu",,,,,,,,,100166,100166,206,"3.1",4,91.00,5.00,,"IV",1,8900,"ahp",1,"NAB59j",,,,,,"TW",10/4/2000 0:00:00
10211,"Aizi, Mobumrin",,,,,,,,,100167,100167,206,"3.1",4,91.00,5.00,,"IV",1,2700,"ahm",1,"NAB59j",,,,,,"TW",10/4/2000 0:00:00
10212,"Aizi, Tiagbamrin",,,,,,,,,100168,100168,206,"3.1",4,91.00,3.50,,"IV",1,12000,"ahi",1,"NAB59j",,,,,,"TW",10/4/2000 0:00:00
10213,"Aja",,,,,,,,,100169,100169,292,"2.2",3,6.00,2.00,,"OD",1,300,"aja",6,"NAB66e",,,,,,"TW",10/4/2000 0:00:00
10214,"Ajie",,,,,,,,,100171,100171,243,"3.2",5,100.00,17.00,,"NC",1,5900,"aji",1,"AON09a",,,,,,"TW",10/4/2000 0:00:00
10215,"Arara do Para",,,,,,,,,100174,100174,290,"2.2",3,30.00,1.00,,"BR",1,400,"aap",4,"MIR39e",,,,,,"TW",10/4/2000 0:00:00
10216,"Ajuran",,,,,,,,,100175,100175,256,"1.2",1,0.40,0.30,"Y","KE",1,65000,"gax",6,"CMT33b",,,,,,"TW",10/4/2000 0:00:00
10217,"Ak",,,,,,,,,100176,100176,244,"3.1",4,25.00,4.00,,"PP",1,100,"akq",4,"AON09b",,,,,,"TW",10/4/2000 0:00:00
10218,"Akan",,,,,,,,,100179,100179,181,"3.2",5,69.81,31.91,,"GH",12,4869300,"aka",1,"NAB59a",,,,,,"TW",10/4/2000 0:00:00
10219,"Ingariko",,,"Ingarico, Akawaio",,,,,,100181,100181,290,"3.2",5,70.60,38.22,,"GY",3,6900,"ake",1,"MIR39c",,,,,,"TW",10/4/2000 0:00:00
10220,"Ake, Aike",,,,,,,,,100182,100182,140,"3.2",4,45.00,6.00,,"NI",1,3400,"aik",4,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
10221,"Akebu",,,,,,,,,100183,100183,181,"3.1",4,25.00,4.00,,"TO",1,76000,"keu",4,"NAB59b",,,,,,"TW",10/4/2000 0:00:00
10222,"Akei",,,,,,,,,100184,100184,315,"3.2",5,97.00,45.00,,"NH",1,1500,"tsr",1,"AON09c",,,,,,"TW",10/4/2000 0:00:00
10223,"Akha","Ah-kar",,,,,,"?????",,100185,100185,185,"3.2",4,16.69,5.33,,"CH",4,534000,"ahk",4,"MSY50i",,,,,,"TW",10/4/2000 0:00:00
10224,"Akhvakh",,,"Achwachen",,,,,,100187,100187,157,"1.2",1,0.03,0.03,"Y","RS",1,6700,"akv",6,"CEW17b",,,,,,"TW",10/4/2000 0:00:00
10225,"Aklano",,,,,,,,,100189,100189,166,"3.2",4,97.00,10.00,,"RP",1,585000,"akl",1,"MSY44q",,,,,,"TW",10/4/2000 0:00:00
10226,"Akolet",,,,,,,,,100190,100190,244,"3.2",5,100.00,16.00,,"PP",1,2300,"akt",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
10227,"Akpafu",,,,,,,,,100191,100191,181,"3.2",5,90.00,21.00,,"GH",1,80000,"akp",1,"NAB59b",,,,,,"TW",10/4/2000 0:00:00
10228,"Akpes",,,,,,,,,100193,100193,320,"3.2",4,35.00,8.00,,"NI",1,18000,"ibe",4,"NAB59n",,,,,,"TW",10/4/2000 0:00:00
10229,"Akpet-Ehom",,,,,,,,,100194,100194,140,"3.2",4,75.00,10.00,,"NI",1,18000,"akd",1,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
10230,"Akrukay",,,,,,,,,100195,100195,244,"3.2",4,100.00,7.00,,"PP",1,300,"afi",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
10231,"Akuliyo",,,,,,,,,100197,100197,290,"2.2",3,18.00,2.00,,"NS",1,60,"ako",4,"MIR39c",,,,,,"TW",10/4/2000 0:00:00
10232,"Akum",,,,,,,,,100198,100198,140,"3.2",4,61.46,7.19,,"CM",2,3000,"aku",1,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
10233,"Makwa, Akwa",,,,,,,,,100200,100200,334,"3.2",4,95.00,6.00,,"CF",1,37000,"akw",1,"NAB57c",,,,,,"TW",10/4/2000 0:00:00
10234,"Akan-Akwamu",,,,,,,,,100201,100201,181,"3.2",5,88.00,21.00,,"GH",1,60000,"aka",1,"NAB59a",,,,,,"BM",7/16/2003 0:00:00
10235,"Akan-Akwapem, Akuapim",,,,,,,,,100202,100202,181,"3.2",5,92.00,22.00,,"GH",1,693000,"aka",1,"NAB59a",,,,,,"BM",7/16/2003 0:00:00
10236,"Nsari, Akweto",,,,,,,,,100203,100203,140,"2.2",2,70.00,2.00,,"CM",1,11000,"asj",1,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
10237,"Akyode",,,,,,,,,100204,100204,181,"2.2",3,6.00,0.40,,"GH",1,15000,"acd",4,"NAB59a",,,,,,"TW",10/4/2000 0:00:00
10238,"Alabama",,,,,,,,,100205,100205,246,"3.1",4,65.00,4.00,,"US",1,800,"akz",1,"MIR38a",,,,"256 speakers; Nr. Livingston, SE Texas",,"TW",10/4/2000 0:00:00
10239,"Kawashkar",,,,,,,,,100207,100207,290,"3.2",4,80.00,9.00,,"CI",1,1800,"alc",1,"MIR39z",,,,,,"TW",10/4/2000 0:00:00
10240,"Aladjan Jacquesville",,,,,,,,,100208,100208,181,"3.2",4,90.00,9.00,,"IV",1,38000,"ald",1,"NAB59k",,,,,,"TW",10/4/2000 0:00:00
10241,"Alago",,,,,,,,,100209,100209,140,"3.1",4,7.00,2.50,,"NI",1,54000,"ala",4,"NAB59z",,,,,,"TW",10/4/2000 0:00:00
10242,"Alagwa",,,,,,,,,100210,100210,262,"1.2",1,1.00,0.80,"Y","TZ",1,47000,"wbj",6,"CMT33z",,,,,,"TW",10/4/2000 0:00:00
10243,"Alak",,,,,,,,,100212,100212,239,"1.1",1,0.00,0.00,"Y","LA",1,4700,"alk",4,"AUG03z",,,,"Distinct from Alak 1",,"TW",10/4/2000 0:00:00
