"PeopleID3","ROG3","ROL3","ROL4","LanguageRank","Category","Source","EditName","EditDate"
10119,"PP","abg",0,"P","1",,"TW",10/4/2000 0:00:00
10120,"MY","abf",0,"P","1",,"TW",10/4/2000 0:00:00
10121,"RP","abx",0,"P","3",,"BM",4/8/2004 0:00:00
10121,"RP","tgl",0,"S","3",,"BM",4/8/2004 0:00:00
10121,"RP","war",0,"S","3",,"BM",4/8/2004 0:00:00
10122,"NI","abm",0,"P","1",,"TW",10/4/2000 0:00:00
10123,"PP","abw",6614,"P","1",,"TW",3/12/2014 0:00:00
10124,"PP","aau",0,"P","1",,"TW",10/4/2000 0:00:00
10125,"EG","arz",0,"P","3",,"BM",9/8/2008 0:00:00
10125,"RS","abq",0,"P","1",,"TW",10/4/2000 0:00:00
10125,"TU","abq",0,"P","1",,"TW",10/4/2000 0:00:00
10126,"IV","aba",0,"P","1",,"TW",10/4/2000 0:00:00
10127,"IV","abi",0,"P","1",,"TW",10/4/2000 0:00:00
10128,"PP","aby",7004,"P","1",,"BM",5/6/2003 0:00:00
10129,"NI","jub",0,"P","1",,"TW",10/4/2000 0:00:00
10130,"GG","abk",0,"P","1",,"TW",10/4/2000 0:00:00
10130,"GM","abk",0,"P","1",,"BM",11/6/2015 0:00:00
10130,"RS","abk",0,"P","1",,"BM",3/5/2001 0:00:00
10130,"SY","abk",0,"P","1",,"BM",11/6/2015 0:00:00
10130,"TU","abk",0,"P","3",,"BM",12/18/2002 0:00:00
10130,"TU","tur",0,"S","3",,"BM",12/10/2001 0:00:00
10130,"UP","abk",0,"P","1",,"TW",10/4/2000 0:00:00
10131,"CA","abe",0,"S","3",,"BM",5/29/2003 0:00:00
10131,"CA","fra",0,"P","3",,"BM",9/6/2002 0:00:00
10131,"US","eng",0,"P","3",,"BM",9/6/2002 0:00:00
10132,"CM","abb",6634,"P","1",,"BM",3/12/2014 0:00:00
10133,"NI","abo",4257,"P","1",,"TW",3/12/2014 0:00:00
10134,"AS","rop",12353,"P","1",,"BM",5/6/2003 0:00:00
10135,"RP","tbw",0,"P","3",,"BM",4/8/2004 0:00:00
10135,"RP","tgl",0,"S","3",,"BM",4/8/2004 0:00:00
10136,"CD","mgb",0,"P","2",,"TW",10/4/2000 0:00:00
10137,"NI","abn",6639,"P","1",,"BM",5/6/2003 0:00:00
10138,"ID","abz",6642,"P","1",,"BM",5/6/2003 0:00:00
10139,"ID","kgr",6646,"P","1",,"BM",5/6/2003 0:00:00
10140,"ID","abl",0,"P","1",,"TW",10/4/2000 0:00:00
10141,"IV","abu",0,"P","1",,"TW",10/4/2000 0:00:00
10142,"RP","abp",0,"P","3",,"BM",4/8/2004 0:00:00
10142,"RP","ilo",0,"S","3",,"BM",4/8/2004 0:00:00
10143,"MX","tpx",0,"S","1",,"TW",10/4/2000 0:00:00
10143,"MX","tpx",20003,"P","1",,"BM",10/2/2002 0:00:00
10143,"US","tpx",0,"P","1",,"BM",5/29/2015 0:00:00
10144,"ID","ace",6657,"P","1",,"BM",5/6/2003 0:00:00
10144,"MY","ace",0,"P","1",,"BM",4/9/2015 0:00:00
10145,"CO","aca",0,"P","1",,"TW",10/4/2000 0:00:00
10146,"BM","acn",0,"P","1",,"TW",10/4/2000 0:00:00
10146,"CH","acn",0,"P","2",,"TW",10/4/2000 0:00:00
10147,"PA","guq",0,"P","1",,"TW",10/4/2000 0:00:00
10148,"NI","acp",6670,"P","1",,"BM",5/6/2003 0:00:00
10149,"OD","ach",0,"P","1",,"BM",5/6/2003 0:00:00
10149,"UG","ach",0,"P","1",,"TW",10/4/2000 0:00:00
10150,"EC","acu",0,"P","1",,"TW",10/4/2000 0:00:00
10150,"PE","acu",0,"P","1",,"TW",10/4/2000 0:00:00
10151,"US","acv",0,"P","3",,"TW",10/4/2000 0:00:00
10151,"US","eng",0,"S","3",,"BM",5/29/2003 0:00:00
10152,"NI","awc",6672,"P","1",,"BM",5/6/2003 0:00:00
10153,"TT","adb",0,"P","1",,"BM",12/10/2001 0:00:00
10154,"GH","adq",0,"P","3",,"TW",10/4/2000 0:00:00
10154,"GH","gaa",0,"S","3",,"BM",12/10/2001 0:00:00
10154,"TO","adq",0,"P","1",,"BM",3/23/2007 0:00:00
