ROG3,Ctry,PoplPeoples,CntPeoples,CntPeoplesLR,PoplPeoplesLR,JPScaleCtry,ROL3OfficialLanguage,OfficialLang,RLG3Primary,ReligionPrimary,PercentChristianity,PercentEvangelical,10_40Window,ROG2,Continent,RegionCode,RegionName,PercentUrbanized,LiteracyRate,ISO3,Population,PopulationSource
AF,Afghanistan,33259889,77,72,33241423,1,pbt,"Pashto, Southern",6,Islam,0.058354511,0.025807279,Y,ASI,Asia,5,Central Asia,26,38,AFG,33370000,UN Country Population (2016)
AL,Albania,2838502,17,5,42979,3,aln,"Albanian, Gheg",6,Islam,27.60757926,0.454552016,Y,EUR,Europe,9,Eastern Europe and Eurasia,56,97,ALB,2904000,UN Country Population (2016)
AG,Algeria,40209433,40,36,40177742,1,arb,"Arabic, Standard",6,Islam,0.974354385,0.876841689,Y,AFR,Africa,6,Middle East and North Africa,70,73,DZA,40376000,UN Country Population (2016)
AQ,American Samoa,55206,9,1,987,5,smo,Samoan,1,Christianity,95.41815357,21.63642857,N,SOP,Oceania,1,South Pacific,87,97,ASM,56000,UN Country Population (2016)
AN,Andorra,63961,10,2,995,2,cat,Catalan,1,Christianity,90.25710754,0.849939855,N,EUR,Europe,10,Western Europe,86,100,AND,69000,UN Country Population (2016)
AO,Angola,25750637,57,1,2067,5,por,Portuguese,1,Christianity,92.62195078,22.67535454,N,AFR,Africa,7,East and Southern Africa,43,73,AGO,25831000,UN Country Population (2016)
AV,Anguilla,14628,5,,,5,eng,English,1,Christianity,90.58860005,17.1456,N,NAR,North America,12,North America and Caribbean,100,95,AIA,15000,UN Country Population (2016)
AC,Antigua and Barbuda,91950,5,,,5,eng,English,1,Christianity,92.93425608,20.40486022,N,NAR,North America,12,North America and Caribbean,24,97,ATG,93000,UN Country Population (2016)
AR,Argentina,43594263,83,2,190276,4,spa,Spanish,1,Christianity,92.80354706,9.528608002,N,LAM,South America,11,Central and South America,92,98,ARG,43847000,UN Country Population (2016)
AM,Armenia,2975575,18,5,51689,4,hye,Armenian,1,Christianity,94.16351383,8.647576404,N,EUR,Europe,5,Central Asia,63,100,ARM,3026000,UN Country Population (2016)
AA,Aruba,103079,9,,,4,nld,Dutch,1,Christianity,95.49512144,8.189198723,N,NAR,North America,12,North America and Caribbean,42,97,ABW,104000,UN Country Population (2016)
AS,Australia,24205053,183,19,726371,5,eng,English,1,Christianity,66.18728949,14.30751573,N,AUS,Australia,1,South Pacific,89,99,AUS,24309000,UN Country Population (2016)
AU,Austria,8550567,42,8,338550,2,deu,"German, Standard",1,Christianity,83.41412941,0.465680902,N,EUR,Europe,10,Western Europe,66,98,AUT,8570000,UN Country Population (2016)
AJ,Azerbaijan,9788617,40,25,9459587,1,azj,"Azerbaijani, North",6,Islam,2.670760074,0.222911084,Y,ASI,Asia,5,Central Asia,54,100,AZE,9868000,UN Country Population (2016)
BF,Bahamas,390997,9,,,5,eng,English,1,Christianity,94.45814463,35.26450891,N,NAR,North America,12,North America and Caribbean,83,96,BHS,393000,UN Country Population (2016)
BA,Bahrain,1393887,17,8,1088013,4,arb,"Arabic, Standard",6,Islam,8.195430157,2.288437307,Y,ASI,Asia,6,Middle East and North Africa,89,96,BHR,1397000,UN Country Population (2016)
BG,Bangladesh,159555021,315,282,157473092,1,ben,Bengali,6,Islam,0.362205164,,Y,ASI,Asia,4,South Asia,34,52,BGD,162911000,UN Country Population (2016)
BB,Barbados,281348,5,1,3995,5,eng,English,1,Christianity,92.60175716,33.7664193,N,NAR,North America,12,North America and Caribbean,32,98,BRB,285000,UN Country Population (2016)
BO,Belarus,9448776,27,5,31356,2,bel,Belarusan,1,Christianity,69.38204786,1.322299388,N,EUR,Europe,9,Eastern Europe and Eurasia,76,100,BLR,9482000,UN Country Population (2016)
