ROL3,Language,Status,NbrPGICs,NbrCountries,JPScale,LeastReached,JPPopulation,BibleStatus,TranslationNeedQuestionable,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical
aou,A'ou,N,1,1,1,Y,50,0,Y,,,,N,N,,4,Ethnic Religions,0,0
aiw,Aari,L,1,1,5,N,417000,3,N,,1997,Yes,Y,Y,,1,Christianity,62,46.5
aas,Aasax,N,1,1,1,Y,570,0,Y,,,,N,N,,4,Ethnic Religions,5,0.3
kbt,Abadi,L,1,1,5,N,5770,1,N,,,,N,N,,1,Christianity,95,20
abg,Abaga,N,1,1,5,N,340,0,Y,,,,N,N,,1,Christianity,100,20
abf,Abai Sungai,L,1,1,1,Y,1400,0,Y,,,,N,N,,6,Islam,0,0
abm,Abanyom,L,1,1,5,N,29500,1,N,,,,N,Y,,1,Christianity,92,12
aau,Abau,L,1,1,5,N,10800,3,N,,2006,1990,Y,Y,1015,1,Christianity,98,24
abq,Abaza,L,2,2,1,Y,57500,1,N,,,,N,N,,6,Islam,0.81,0.01
aba,Abe,L,1,1,4,N,262000,2,N,,,1967-1980,N,Y,,1,Christianity,90,10
aaq,"Abenaki, Eastern",N,,,,N,,1,N,,,,N,N,,,,,
abe,"Abenaki, Western",N,,,,N,,2,Y,,,1844,N,N,,,,,
abi,Abidji,L,1,1,4,N,83000,3,N,,2001,1978-1988,Y,Y,,1,Christianity,92,6
bsa,Abinomn,L,1,1,4,N,400,1,N,,,,N,N,,1,Christianity,60,3
abk,Abkhaz,L,6,6,3,N,294000,3,N,,1912-2004,1981,N,N,,6,Islam,31.39,0.44
aob,Abom,N,,,,N,,0,Y,,,,N,N,,,,,
abo,Abon,L,1,1,4,N,1880,1,N,,,,N,Y,,1,Christianity,60,7
abr,Abron,L,2,2,5,N,1513000,1,N,,,,N,Y,,1,Christianity,47.27,17.69
ado,Abu,L,1,1,5,N,6260,2,N,,,2006,N,Y,,1,Christianity,100,22
abn,Abua,L,1,1,5,N,44900,3,N,,1978,1967-1990,N,Y,,1,Christianity,86,11
abz,Abui,L,1,1,5,N,16400,1,N,,,,N,Y,,1,Christianity,50,12
kgr,Abun,L,1,1,5,N,4060,3,N,,2004,1991-1995,N,Y,,1,Christianity,60,13
abu,Abure,L,1,1,4,N,90600,1,N,,,,N,Y,,1,Christianity,92,7
mgj,Abureni,L,1,1,4,N,5540,1,N,,,,N,N,,1,Christianity,65,3
ace,Aceh,L,2,2,1,Y,3526000,4,N,1997,1996,1973,N,Y,,6,Islam,0.11,0.07
aca,Achagua,L,1,1,5,N,310,2,N,,,1986,N,Y,1418,1,Christianity,70,12
acn,Achang,L,3,2,5,N,79700,4,Y,2011,1992-2005,Yes,N,Y,373,4,Ethnic Religions,14.85,12.89
guq,Ache,L,1,1,4,N,1640,2,N,,,1978-2007,N,Y,,1,Christianity,55,8
yif,Ache,L,1,1,1,Y,41200,1,N,,,,N,Y,,4,Ethnic Religions,0,0
acz,Acheron,L,1,1,1,Y,20700,1,N,,,,N,Y,,6,Islam,0,0
acr,Achi,L,2,1,5,N,94700,3,N,,1984-2009,1962-1993,Y,Y,517,1,Christianity,99,15
ach,Acholi,L,2,2,5,N,2069000,4,N,1986,1933,1905-1962,Y,Y,559,1,Christianity,96.74,40.17
act,Achterhoeks,L,,,,N,,2,Y,,,2002,N,N,,,,,
acu,Achuar-Shiwiar,L,2,2,3,N,12500,3,N,,1981-2008,1973-1988,Y,Y,1295,4,Ethnic Religions,14.46,1.46
acv,Achumawi,N,1,1,4,N,1030,0,Y,,,,N,Y,,1,Christianity,60,3
acp,"Acipa, Eastern",L,1,1,4,N,9370,1,N,,,,N,N,,4,Ethnic Religions,20,4
adb,Adabe,L,1,1,4,N,5460,1,N,,,,N,N,,1,Christianity,64,2.5
ads,Adamorobe Sign Language,L,,,,N,,1,N,,,,N,N,,,,,
adn,Adang,L,1,1,4,N,3740,1,N,,,,N,Y,,1,Christianity,70,4
adq,Adangbe,L,2,2,5,N,10500,0,Y,,,,N,Y,,1,Christianity,95,15.46
kad,Adara,L,1,1,4,N,349000,1,N,,,,Y,Y,,1,Christianity,55,7.5
tiu,Adasen,L,1,1,4,N,5440,3,N,,1990,Yes,N,Y,,4,Ethnic Religions,17,7
ade,Adele,L,2,2,4,N,43200,3,N,,1996-2001,1992-1993,Y,Y,,4,Ethnic Religions,20,5.36
adh,Adhola,L,1,1,5,N,616000,3,N,,2003,1977-1979,Y,Y,,1,Christianity,95,33
adi,Adi,L,141,,3,N,245000,4,N,2005-2009,1988-2003,1932-1986,Y,Y,,9,Unknown,23.17,
adl,"Adi, Galo",L,2,,3,N,60000,3,N,,2008,Yes,Y,Y,,9,Unknown,32.02,
adj,Adioukrou,L,1,1,4,N,137000,3,N,,1999,1927-1994,Y,Y,,1,Christianity,90,3
adt,Adnyamathanha,N,1,1,4,N,140,0,Y,,,,N,N,,1,Christianity,70,3
adr,Adonara,L,1,1,4,N,110000,1,N,,,,N,N,,1,Christianity,70,6
adu,Aduge,L,1,1,4,N,3430,1,N,,,,N,N,,4,Ethnic Religions,25,5
ady,Adyghe,L,13,12,1,Y,508000,3,N,,1992,1977-2007,Y,Y,,6,Islam,0.02,0
adz,Adzera,L,2,1,5,N,44700,3,N,,1976,1968-2001,N,Y,1229,1,Christianity,99.79,15.24
aez,Aeka,L,1,1,5,N,4320,3,N,,1988,1956,N,Y,,1,Christianity,100,15
awi,Aekyom,L,1,1,5,N,17100,3,N,,1987,1958-1964,N,Y,,1,Christianity,98,20
aeq,Aer,L,1,,1,Y,390,0,Y,,,,N,N,,6,Islam,0,
aal,Afade,L,2,2,1,Y,47800,1,N,,,,N,Y,,6,Islam,2.28,0.42
aar,Afar,L,3,3,1,Y,2558000,3,N,,1994,1975-1986,Y,Y,,6,Islam,0.03,0
afg,Afghan Sign Language,L,1,1,,N,,1,N,,,,N,N,,,,,
aft,Afitti,L,1,1,1,Y,4730,0,Y,,,,N,N,,6,Islam,0,0
afr,Afrikaans,L,19,15,5,N,9890000,4,Y,1933-2000,1941-1980,1893-1929,Y,Y,6,1,Christianity,82.92,20.65
afs,Afro-Seminole Creole,N,2,2,4,N,750,0,Y,,,,N,N,,1,Christianity,90,2
agd,Agarabi,L,1,1,5,N,40200,3,N,,2010,1970,Y,Y,935,1,Christianity,98,31
agi,Agariya,L,1,,1,Y,88900,0,Y,,,,N,Y,,5,Hinduism,0.3,
agc,Agatu,L,1,1,4,N,158000,3,N,,1984,1951-1968,Y,Y,,1,Christianity,81,8
agq,Aghem,L,1,1,4,N,43900,2,N,,,2003,N,Y,,1,Christianity,75,7
ahh,Aghu,L,1,1,5,N,4640,1,N,,,,N,N,,1,Christianity,70,11
agx,Aghul,L,1,1,1,Y,34800,2,N,,,2005-2007,N,N,,6,Islam,0,0
aif,Agi,L,1,1,5,N,1330,1,N,,,,N,Y,,1,Christianity,100,22
kit,Agob,L,1,1,5,N,3640,2,N,,,2010,N,Y,,1,Christianity,100,22
ibm,Agoi,L,1,1,5,N,21100,1,N,,,,N,Y,,1,Christianity,90,13
dul,"Agta, Alabat Island",N,1,1,4,N,40,0,Y,,,,N,N,,4,Ethnic Religions,8,4
dgc,"Agta, Casiguran Dumagat",L,2,1,4,N,1650,3,N,,1979,1967,N,Y,1170,4,Ethnic Religions,11,2.5
agt,"Agta, Central Cagayan",L,1,1,4,N,1060,3,N,,1992,1962-1980,N,Y,1244,4,Ethnic Religions,12,8
duo,"Agta, Dupaninan",L,1,1,4,N,2220,3,N,,2001,1986-2009,N,N,1312,4,Ethnic Religions,10,3
agk,"Agta, Isarog",N,1,1,3,N,1050,0,Y,,,,N,N,,4,Ethnic Religions,8,1
atl,"Agta, Mt. Iraya",L,1,1,4,N,200,0,Y,,,,N,N,,1,Christianity,95,6
agz,"Agta, Mt. Iriga",L,1,1,4,N,3300,1,N,,,,N,N,,1,Christianity,70,3
apf,"Agta, Pahanan",L,1,1,4,N,1900,2,N,,,1988-2006,N,N,,4,Ethnic Religions,20,6
due,"Agta, Umiray Dumaget",L,1,1,4,N,4620,3,N,,1977,1968,N,Y,1339,4,Ethnic Religions,8,4
aga,Aguano,N,1,1,4,N,200,1,N,,,,N,N,,4,Ethnic Religions,45,5
aug,Aguna,L,2,2,4,N,33300,0,Y,,,,N,Y,,4,Ethnic Religions,33.61,7.53
agn,Agutaynen,L,1,1,4,N,17600,3,N,,2004,1989-1993,N,Y,1124,1,Christianity,90,9
yay,Agwagwune,L,1,1,5,N,37400,2,N,,,1894,Y,Y,,1,Christianity,93,11
ahn,Ahan,L,1,1,1,Y,480,1,N,,,,N,N,,4,Ethnic Religions,0,0
aha,Ahanta,L,1,1,5,N,203000,3,N,,2009,2002,Y,Y,,1,Christianity,90,23
thm,Aheu,L,2,2,1,Y,1160,0,Y,,,,N,N,,2,Buddhism,0,0
ahr,Ahirani,L,107,,1,Y,1026000,1,N,,,,Y,Y,,5,Hinduism,0.12,
aho,Ahom,N,,,,N,,1,N,,,,N,N,,,,,
aht,Ahtena,N,1,1,4,N,50,0,Y,,,,N,N,,1,Christianity,70,3
nfd,Ahwai,L,3,1,4,N,18000,1,N,,,,N,Y,,1,Christianity,56.23,7.16
aih,Ai-Cham,L,1,1,1,Y,3010,0,Y,,,,N,N,,4,Ethnic Religions,0.5,0.2
aix,Aighon,L,1,1,5,N,2760,0,Y,,,,N,Y,,1,Christianity,100,21
tba,Aikana,L,1,1,5,N,310,1,N,,,,Y,Y,,4,Ethnic Religions,50,25
mwg,Aiklep,L,1,1,5,N,7390,1,N,,,,N,Y,,1,Christianity,95,30
aiq,Aimaq,L,9,3,1,Y,1899000,1,N,,,,N,N,,6,Islam,0,0
ail,Aimele,L,1,1,3,N,210,0,Y,,,,N,N,,4,Ethnic Religions,10,1.6
aim,Aimol,L,2,,3,N,3660,3,N,,2013,Yes,N,Y,,1,Christianity,83.48,
aic,Ainbai,N,1,1,5,N,140,0,Y,,,,N,N,,1,Christianity,95,19
aib,Ainu,L,1,1,1,Y,7450,0,Y,,,,N,N,,6,Islam,0,0
ain,Ainu,N,,,,N,,3,Y,,1897,1889-1896,N,N,,,,,
aki,Aiome,L,1,1,5,N,1350,1,N,,,,N,Y,,1,Christianity,90,27
air,Airoran,L,1,1,5,N,1410,1,N,,,,N,N,,1,Christianity,65,12
aio,Aiton,L,1,,1,Y,3740,0,Y,,,,N,Y,,2,Buddhism,0,
nfl,Aiwoo,L,1,1,5,N,12400,2,N,,,1999,N,Y,,1,Christianity,99,35
ahp,"Aizi, Aproumu",L,1,1,4,N,8890,1,N,,,,N,Y,,1,Christianity,91,5
ahm,"Aizi, Mobumrin",L,1,1,4,N,2740,1,N,,,,N,N,,1,Christianity,91,5
ahi,"Aizi, Tiagbamrin",L,1,1,4,N,12300,1,N,,,,N,N,,1,Christianity,91,3.5
aja,Aja,N,1,1,3,N,350,0,Y,,,,N,N,,6,Islam,6,2
ajg,Aja,L,3,2,5,N,1160000,2,N,,,2010,Y,Y,,4,Ethnic Religions,38.56,10.81
aji,Ajie,L,1,1,5,N,5860,3,Y,,1922,1903-1972,N,Y,924,1,Christianity,100,17
