ROG3,Ctry,PeopleID3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,AffinityBloc,PeopleID2,PeopleCluster,CountOfCountries,RegionCode,RegionName,ROG2,Continent,10_40Window
AF,Afghanistan,19409,Afshari,Afshari,13000,1,Y,azb,"Azerbaijani, South",4,6,Islam,0.039999999,0.039999999,24,Turkic Peoples,126,Azerbaijani,2,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,11308,"Aimaq, Char","Aimaq, Char",293000,1,Y,aiq,Aimaq,1,6,Islam,0,0,14,Persian-Median,105,Aimaq,1,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,10198,"Aimaq, Firozkohi","Aimaq, Firozkohi",290000,1,Y,aiq,Aimaq,1,6,Islam,0,0,14,Persian-Median,105,Aimaq,1,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,10199,"Aimaq, Hazara","Aimaq, Hazara",226000,1,Y,aiq,Aimaq,1,6,Islam,0,0,14,Persian-Median,105,Aimaq,2,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,10200,"Aimaq, Jamshidi","Aimaq, Jamshidi",128000,1,Y,aiq,Aimaq,1,6,Islam,0,0,14,Persian-Median,105,Aimaq,2,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,10201,"Aimaq, Taimani","Aimaq, Taimani",581000,1,Y,aiq,Aimaq,1,6,Islam,0,0,14,Persian-Median,105,Aimaq,1,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,10202,"Aimaq, Timuri","Aimaq, Timuri",145000,1,Y,aiq,Aimaq,1,6,Islam,0.02,0,14,Persian-Median,105,Aimaq,2,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,15741,"Americans, U.S.","Americans, U.S.",11000,5,N,eng,English,4,1,Christianity,84.5,30,18,North American Peoples,109,Anglo-American,105,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,16221,Ansari,Ansari,2100,1,Y,urd,Urdu,4,6,Islam,0,0,21,South Asian Peoples,312,Urdu Muslim,5,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,15202,"Arab, Tajiki","Arab, Tajiki",15000,1,Y,abh,"Arabic, Tajiki Spoken",0,6,Islam,0.200000003,0.2,10,Arab World,324,"Arab World, general",2,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,16239,Arora (Hindu traditions),Arora (Hindu traditions),1300,1,Y,skr,Saraiki,3,5,Hinduism,0,0,21,South Asian Peoples,187,Hindi,3,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,15356,"Baloch, Western","Baloch, Western",405000,1,Y,bgn,"Balochi, Western",2,6,Islam,0.01,0.01,14,Persian-Median,129,Baloch,4,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,19423,Bania (Muslim traditions),Bania (Muslim traditions),5600,1,Y,urd,Urdu,4,6,Islam,0.230000004,0.2,21,South Asian Peoples,281,Sindhi,1,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,16521,Brahmin,Brahmin,3200,1,Y,urd,Urdu,4,5,Hinduism,0,0,21,South Asian Peoples,187,Hindi,7,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,10959,Brahui,"Brahui, Kur Galli",279000,1,Y,brh,Brahui,3,6,Islam,0.100000001,0.1,21,South Asian Peoples,261,"South Asian, other",4,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,11140,British,British,1000,4,N,eng,English,4,1,Christianity,72,6,12,Eurasian Peoples,110,Anglo-Celt,134,5,Central Asia,ASI,Asia,Y
AF,Afghanistan,16585,Changar,Changar,2600,1,Y,urd,Urdu,4,6,Islam,0,0,21,South Asian Peoples,272,Punjabi,3,5,Central Asia,ASI,Asia,Y
