ROL3,Language,ROL4,PeopleID3,ROG3,LanguageRank,Speakers
pap,Papiamentu,0,10350,AA,P,83443
nld,Dutch,0,11659,AA,P,4227
hat,Haitian Creole,0,12035,AA,P,1115
cmn,"Chinese, Mandarin",0,12051,AA,P,839
jam,Jamaican Creole English,0,12316,AA,P,571
spa,Spanish,0,13003,AA,P,11504
tgl,Tagalog,0,15175,AA,P,836
eng,English,0,15741,AA,P,544
xxx,Unknown,0,19007,AA,P,
aig,Antigua and Barbuda Creole English,0,10348,AC,S,
eng,English,0,10348,AC,P,
eng,English,0,11140,AC,P,3143
aig,Antigua and Barbuda Creole English,0,13862,AC,P,2635
eng,English,0,15741,AC,P,10294
xxx,Unknown,0,19007,AC,P,
afb,"Arabic, Gulf Spoken",0,10376,AE,P,
acx,"Arabic, Omani Spoken",0,10378,AE,P,323499
hye,Armenian,0,10429,AE,P,9294
ben,Bengali,7966,10790,AE,P,71435
tha,Thai,0,11277,AE,P,3062
arz,"Arabic, Egyptian Spoken",0,11722,AE,P,396976
afb,"Arabic, Gulf Spoken",0,12046,AE,P,761584
haz,Hazaragi,0,12076,AE,P,93907
acm,"Arabic, Mesopotamian Spoken",0,12247,AE,P,54087
jpn,Japanese,0,12322,AE,P,
apc,"Arabic, North Levantine Spoken",0,12368,AE,P,93886
apc,"Arabic, North Levantine Spoken",0,13017,AE,P,47964
npi,Nepali,0,13317,AE,P,159103
zlm,Malay,0,13437,AE,P,27796
pbu,"Pashto, Northern",0,14256,AE,P,610261
ajp,"Arabic, South Levantine Spoken",0,14276,AE,P,90825
pbt,"Pashto, Southern",0,14327,AE,P,80982
pes,"Persian, Iranian",0,14371,AE,P,353094
acw,"Arabic, Hijazi Spoken",0,14784,AE,P,137768
ssh,"Arabic, Shihhi Spoken",0,14908,AE,P,22043
sqt,Soqotri,0,14971,AE,P,14695
som,Somali,0,14983,AE,P,132665
bcc,"Balochi, Southern",0,15034,AE,P,477595
apd,"Arabic, Sudanese Spoken",0,15104,AE,P,25513
apc,"Arabic, North Levantine Spoken",0,15152,AE,P,37759
tgl,Tagalog,0,15175,AE,P,
acq,"Arabic, Taizzi-Adeni Spoken",3364,15198,AE,P,15308
mal,Malayalam,0,17433,AE,P,
tur,Turkish,0,18274,AE,P,9549
pst,"Pashto, Central",0,18368,AE,P,20410
xxx,Unknown,0,19007,AE,P,
cmn,"Chinese, Mandarin",0,19206,AE,P,30672
hin,Hindi,0,19211,AE,P,
urd,Urdu,0,19211,AE,S,
aiq,Aimaq,6773,10198,AF,P,290450
aiq,Aimaq,0,10199,AF,P,226213
aiq,Aimaq,6774,10200,AF,P,128462
aiq,Aimaq,6777,10201,AF,P,580889
aiq,Aimaq,6778,10202,AF,P,145218
ask,Ashkun,0,10453,AF,P,41834
bsh,Kati,3341,10703,AF,P,29302
brh,Brahui,0,10959,AF,P,279276
ckb,"Kurdish, Central",0,11126,AF,P,233584
eng,English,0,11140,AF,P,995
aiq,Aimaq,0,11308,AF,P,293234
prs,Dari,0,11510,AF,P,13961
rmt,Domari,9376,11597,AF,P,9636
gwt,Gawar-Bati,0,11835,AF,P,13961
deu,"German, Standard",0,11871,AF,P,2516
nli,Grangali,0,11936,AF,P,9766
haz,Hazaragi,0,12076,AF,P,2876095
ita,Italian,0,12273,AF,P,1671
xvi,Kamviri,11490,12482,AF,P,18825
kaa,Karakalpak,11588,12526,AF,P,2798
kaz,Kazakh,11758,12599,AF,P,2798
gwc,Kalami,11381,12741,AF,P,1671
kir,Kyrgyz,0,12933,AF,P,1100
prs,Dari,0,13431,AF,P,2798
prs,Dari,0,13761,AF,P,1962
mnj,Munji,14417,13878,AF,P,6023
aee,"Pashai, Northeast",0,13996,AF,P,
psi,"Pashai, Southeast",15537,13996,AF,S,
glh,"Pashai, Northwest",3338,14042,AF,P,13961
snd,Sindhi,16748,14192,AF,P,20945
phv,Pahlavani,0,14255,AF,S,
prs,Dari,0,14255,AF,P,
pbu,"Pashto, Northern",0,14256,AF,P,6473526
prc,Parachi,0,14311,AF,P,
prd,Parsi-Dari,0,14322,AF,S,
prs,Dari,0,14322,AF,P,
paq,Parya,0,14324,AF,P,307
pbt,"Pashto, Southern",0,14327,AF,P,6818844
pes,"Persian, Iranian",0,14371,AF,P,573949
prs,Dari,0,14372,AF,P,8092181
prn,Prasuni,0,14461,AF,P,8366
pan,"Punjabi, Eastern",15478,14483,AF,P,5166
azj,"Azerbaijani, North",0,14498,AF,S,
prs,Dari,0,14498,AF,P,
rmn,"Romani, Balkan",3403,14570,AF,P,14803
rus,Russian,16118,14598,AF,P,1956
sgy,Sanglechi,0,14727,AF,P,2401
sdg,Savi,0,14782,AF,P,4189
sgh,Shughni,0,14921,AF,P,39234
sts,Shumashti,0,14924,AF,P,1393
psi,"Pashai, Southeast",0,15025,AF,P,188253
psh,"Pashai, Southwest",0,15072,AF,P,104585
abh,"Arabic, Tajiki Spoken",0,15202,AF,P,
prs,Dari,0,15202,AF,S,
tgk,Tajiki,0,15202,AF,S,
prs,Dari,0,15253,AF,P,13961
bgn,"Balochi, Western",7624,15356,AF,P,404943
pnb,"Punjabi, Western",0,15382,AF,P,32120
pbu,"Pashto, Northern",0,15418,AF,P,2989
pbt,"Pashto, Southern",0,15500,AF,P,
tra,Tirahi,0,15500,AF,S,
trm,Tregami,0,15575,AF,P,3660
tuk,Turkmen,0,15654,AF,P,1663561
oru,Ormuri,0,15735,AF,S,
pbt,"Pashto, Southern",0,15735,AF,P,
eng,English,0,15741,AF,P,11328
uig,Uyghur,0,15755,AF,P,4189
uzs,"Uzbek, Southern",0,15756,AF,P,3043431
wbk,Waigali,0,15822,AF,P,12028
wrd,Warduji,0,15866,AF,P,6984
urd,Urdu,0,16221,AF,P,2100
skr,Saraiki,0,16239,AF,P,1325
urd,Urdu,0,16521,AF,P,3211
urd,Urdu,0,16585,AF,P,2649
gju,Gujari,10404,17549,AF,P,3656
pan,"Punjabi, Eastern",0,17714,AF,P,2798
pan,"Punjabi, Eastern",0,18125,AF,P,2370
tur,Turkish,0,18274,AF,P,9282
mvy,"Kohistani, Indus",0,18369,AF,P,40497
wbl,Wakhi,0,18693,AF,P,17779
afg,Afghan Sign Language,0,19007,AF,P,
jat,Inku,0,19369,AF,P,1393
azb,"Azerbaijani, South",3389,19409,AF,P,
prs,Dari,0,19409,AF,S,
urd,Urdu,0,19423,AF,P,5582
isk,Ishkashimi,0,20542,AF,P,2728
arq,"Arabic, Algerian Spoken",0,10379,AG,P,26250017
kcy,Korandje,0,10774,AG,P,3620
rif,Tarifit,0,10803,AG,P,787199
eng,English,0,11140,AG,P,701
tzm,"Tamazight, Central Atlas",0,11199,AG,P,76297
fra,French,0,11234,AG,P,12486
arq,"Arabic, Algerian Spoken",0,11284,AG,P,126963
cnu,Chenoua,0,11321,AG,P,90844
arq,"Arabic, Algerian Spoken",0,11633,AG,P,75855
arz,"Arabic, Egyptian Spoken",0,11722,AG,P,16508
fra,French,0,11764,AG,P,644
hau,Hausa,0,12070,AG,P,
dsq,Tadaksahak,0,12178,AG,P,2285
tzm,"Tamazight, Central Atlas",0,12217,AG,P,1523584
acm,"Arabic, Mesopotamian Spoken",0,12247,AG,P,4307
kab,Kabyle,0,12399,AG,P,5579920
arq,"Arabic, Algerian Spoken",0,12944,AG,P,75966
tzm,"Tamazight, Central Atlas",0,13669,AG,P,76076
ary,"Arabic, Moroccan Spoken",0,13819,AG,P,167091
mzb,Tumzabt,0,13842,AG,P,173527
arq,"Arabic, Algerian Spoken",0,13922,AG,P,35545
arq,"Arabic, Algerian Spoken",0,14570,AG,P,4198
arq,"Arabic, Algerian Spoken",0,14584,AG,P,76200
mey,Hassaniyya,0,14639,AG,P,
spa,Spanish,0,14639,AG,S,
shy,Tachawit,0,14899,AG,P,2158463
shi,Tachelhit,0,14911,AG,P,292032
arq,"Arabic, Algerian Spoken",0,14938,AG,P,127073
spa,Spanish,0,15077,AG,P,1996
arq,"Arabic, Algerian Spoken",0,15095,AG,P,120594
arq,"Arabic, Algerian Spoken",0,15199,AG,P,1637950
aao,"Arabic, Algerian Saharan Spoken",0,15226,AG,P,140385
tia,"Tamazight, Tidikelt",0,15473,AG,P,
tjo,"Tamazight, Temacine",0,15572,AG,P,8864
thv,"Tamahaq, Tahaggart",0,15608,AG,P,39364
grr,Taznatit,17278,15609,AG,P,10973
arq,"Arabic, Algerian Spoken",0,16103,AG,P,253938
tur,Turkish,0,18274,AG,P,3208
oua,Tagargrent,0,18364,AG,P,6354
asp,Algerian Sign Language,0,19007,AG,P,
cmn,"Chinese, Mandarin",0,19206,AG,P,33199
hye,Armenian,0,10429,AJ,P,
aii,Assyrian Neo-Aramaic,112,10464,AJ,P,1530
ava,Avar,0,10495,AJ,P,52776
azj,"Azerbaijani, North",0,10528,AJ,P,8661394
jdt,Judeo-Tat,0,10839,AJ,P,2186
bdk,Budukh,8413,10980,AJ,P,1059
bel,Belarusan,7935,11065,AJ,P,6439
eng,English,0,11140,AJ,P,2793
kry,Kryts,0,11255,AJ,P,5682
che,Chechen,8728,11317,AJ,P,5185
dar,Dargwa,0,11505,AJ,P,
kat,Georgian,0,11865,AJ,P,10492
deu,"German, Standard",0,11871,AJ,P,936
